SIRUTA,NR_FIRME,NSAL,CFA,PROFITN,PIERDEREN
179132.0,111826.0,1177345.0,330641496321.0,22997762362.0,16954653951.0
54975.0,17673.0,109526.0,23162554203.0,1341388982.0,818218913.0
75098.0,6925.0,81295.0,19383617514.0,1241694937.0,322409059.0
155243.0,13711.0,107087.0,19022600421.0,1306245774.0,896346623.0
40198.0,11996.0,92738.0,18830028385.0,1004534726.0,718591785.0
60419.0,12525.0,92977.0,18798286829.0,1370507238.0,560274276.0
130534.0,7056.0,73406.0,17755310059.0,885895312.0,914008698.0
179551.0,2265.0,22619.0,17716849296.0,897675159.0,906185764.0
26564.0,10558.0,70822.0,12458546173.0,444111685.0,439066244.0
95060.0,10492.0,76693.0,11249695333.0,655717954.0,504278100.0
179481.0,967.0,15128.0,11089387105.0,466376303.0,175856231.0
9262.0,6695.0,59286.0,10562062057.0,531121705.0,857418621.0
114319.0,5849.0,101867.0,10544189018.0,499135351.0,249258175.0
60507.0,791.0,6300.0,10276975216.0,36368881.0,733722422.0
143450.0,6070.0,56676.0,10117101096.0,435203636.0,435495917.0
69900.0,8668.0,64834.0,10034705888.0,695438907.0,676725530.0
13169.0,6240.0,57300.0,9909922638.0,466394112.0,291369708.0
13301.0,542.0,16765.0,8664528754.0,254824121.0,21221557.0
44818.0,4352.0,36269.0,8397640484.0,385995898.0,241382487.0
20297.0,5385.0,39475.0,7779507117.0,630981636.0,137871354.0
167473.0,3916.0,41065.0,7421834395.0,219957994.0,424624525.0
125347.0,2841.0,26812.0,6520637539.0,378329491.0,136603455.0
143619.0,1139.0,25072.0,6125100526.0,844598010.0,33851611.0
106318.0,5909.0,43501.0,5728196829.0,287230014.0,477644692.0
136483.0,3674.0,35173.0,4813604773.0,213464224.0,156468773.0
65342.0,2929.0,26031.0,4807770740.0,324747777.0,93763560.0
42682.0,4425.0,39075.0,4763525713.0,229847341.0,223961165.0
32394.0,3129.0,27926.0,4698581887.0,191522472.0,50262345.0
179463.0,315.0,6190.0,3666954688.0,76538921.0,66383731.0
86687.0,2445.0,77580.0,3405323062.0,107781441.0,60461633.0
120726.0,3866.0,24973.0,3370063043.0,176535953.0,67199579.0
35731.0,2333.0,25165.0,3298725061.0,129751874.0,80434759.0
109773.0,2448.0,22213.0,3169701690.0,93210887.0,195370691.0
146263.0,3366.0,24357.0,3157710094.0,146297537.0,95727326.0
174744.0,2698.0,24394.0,3140026228.0,163469789.0,62143216.0
159614.0,2642.0,21572.0,2808200334.0,130678359.0,162850925.0
63394.0,2009.0,16850.0,2789381499.0,861076932.0,52378165.0
92569.0,2017.0,14979.0,2753340035.0,103484904.0,51605667.0
179515.0,747.0,7867.0,2716579172.0,92589215.0,82604526.0
77812.0,2938.0,21216.0,2715445124.0,129682931.0,31525894.0
179533.0,950.0,8661.0,2681145495.0,136337161.0,207449700.0
139704.0,2115.0,12249.0,2602832794.0,184856082.0,30708091.0
92658.0,1261.0,10738.0,2582177215.0,120333959.0,38705348.0
83133.0,1422.0,15040.0,2470903576.0,112827553.0,45233235.0
60482.0,1305.0,12486.0,2358309159.0,69073985.0,476709579.0
1874.0,962.0,9306.0,2356408516.0,38817476.0,100863037.0
1017.0,2839.0,18339.0,2316397026.0,104098408.0,72823048.0
100781.0,103.0,2288.0,2215051329.0,60059181.0,1005690.0
179409.0,321.0,5464.0,2110909312.0,57322917.0,27717531.0
131256.0,1219.0,12441.0,2060100597.0,213436525.0,19024484.0
83320.0,1850.0,14405.0,2041865038.0,86064681.0,52257856.0
50790.0,1846.0,15938.0,1977196169.0,132658452.0,69007865.0
120860.0,1459.0,11876.0,1953241647.0,40623286.0,228224399.0
86810.0,1368.0,10387.0,1898215116.0,62277899.0,15728696.0
20563.0,1424.0,11169.0,1890978159.0,60297728.0,161444954.0
100834.0,473.0,4037.0,1870292317.0,53325649.0,45037069.0
105419.0,169.0,2617.0,1801922280.0,56211225.0,80780782.0
151790.0,1595.0,11384.0,1801180399.0,87268815.0,36332445.0
161945.0,1567.0,15032.0,1783489621.0,69669510.0,33664141.0
100521.0,1616.0,10593.0,1639486236.0,67185241.0,156360025.0
86990.0,861.0,19093.0,1539323196.0,37801662.0,387183703.0
179249.0,507.0,4201.0,1539211312.0,38430377.0,46605915.0
155350.0,1273.0,12107.0,1535574048.0,72939723.0,35447384.0
132075.0,116.0,2680.0,1515121329.0,27731409.0,77630679.0
40492.0,467.0,4601.0,1510473727.0,28617311.0,24447285.0
55008.0,1243.0,6913.0,1367626433.0,36855111.0,57047264.0
40900.0,238.0,4826.0,1330794351.0,18560816.0,25712688.0
161794.0,1239.0,12390.0,1315478826.0,60431272.0,22357941.0
100576.0,710.0,5460.0,1276603958.0,33379540.0,79209822.0
155528.0,334.0,13493.0,1274844537.0,32602838.0,68568612.0
40214.0,223.0,4568.0,1260217064.0,49703325.0,31415877.0
155314.0,477.0,5474.0,1240810140.0,134213254.0,41625403.0
155289.0,332.0,4419.0,1219857772.0,61549213.0,54424433.0
146628.0,828.0,6013.0,1205412863.0,36299721.0,55102257.0
179383.0,314.0,3398.0,1174537889.0,40676990.0,45632084.0
13276.0,216.0,5119.0,1163698532.0,26565414.0,9411578.0
65681.0,351.0,3637.0,1127975775.0,55418767.0,6501845.0
55259.0,1450.0,7959.0,1126515845.0,57441440.0,29381769.0
179221.0,606.0,3921.0,1108290912.0,48881874.0,59899870.0
114809.0,1090.0,9580.0,1083376036.0,62148894.0,23237044.0
136526.0,555.0,5513.0,1046609595.0,66263026.0,11258988.0
105570.0,172.0,2042.0,1008707072.0,70519432.0,25093460.0
55357.0,544.0,5642.0,987676074.0,64020726.0,8190008.0
114514.0,788.0,9052.0,962167573.0,55565708.0,22751050.0
55687.0,313.0,2921.0,897575732.0,39593692.0,8408538.0
87291.0,412.0,4322.0,893281939.0,21718755.0,38292331.0
143557.0,304.0,3626.0,889028415.0,42641736.0,30309413.0
13622.0,838.0,8448.0,885697080.0,57202388.0,14740600.0
13187.0,334.0,4708.0,861345500.0,37677387.0,11830498.0
40438.0,780.0,6482.0,852666876.0,30663555.0,15312630.0
95391.0,845.0,7383.0,847253520.0,47134362.0,15353491.0
40241.0,560.0,6388.0,845787241.0,21808871.0,30979852.0
102605.0,175.0,1869.0,840003667.0,30791762.0,35077736.0
125472.0,708.0,7715.0,835584332.0,34402907.0,4957507.0
136599.0,483.0,4122.0,814507275.0,59294085.0,9015163.0
133161.0,193.0,3326.0,807511193.0,56255136.0,4727162.0
74859.0,142.0,2540.0,789429221.0,30803611.0,2126199.0
146432.0,323.0,2936.0,778593243.0,28487488.0,16476592.0
130678.0,249.0,2784.0,759877648.0,36760692.0,4549574.0
101957.0,119.0,894.0,759227309.0,43597791.0,11524165.0
29243.0,51.0,2376.0,758752167.0,2622001.0,102240101.0
57902.0,289.0,1956.0,748502014.0,42435157.0,4405677.0
13490.0,1091.0,6942.0,747863569.0,39429196.0,15676840.0
63740.0,488.0,6102.0,728683255.0,50096337.0,42668378.0
75203.0,920.0,5354.0,724520707.0,26566525.0,8196469.0
106559.0,957.0,7720.0,700311719.0,28280777.0,6002948.0
9495.0,131.0,3905.0,695043991.0,18235449.0,51133719.0
57706.0,666.0,4457.0,684504655.0,26471942.0,29451553.0
100683.0,456.0,4661.0,683613516.0,38280578.0,19044672.0
60570.0,259.0,2250.0,674862210.0,38406415.0,11328252.0
1696.0,393.0,5515.0,665982870.0,40814655.0,78587054.0
13365.0,162.0,2289.0,655652291.0,22929524.0,6692455.0
120771.0,201.0,3161.0,638756572.0,16314427.0,3217498.0
100610.0,780.0,4307.0,637275949.0,17795875.0,13376757.0
101163.0,132.0,1318.0,623489859.0,14553976.0,25336855.0
40278.0,955.0,5542.0,615568974.0,27902153.0,37680759.0
151683.0,457.0,4344.0,608163274.0,14199703.0,10880560.0
48771.0,99.0,1219.0,591536917.0,7974668.0,31307492.0
179285.0,391.0,2508.0,588235515.0,39681180.0,7690103.0
102035.0,208.0,1825.0,580113729.0,31654514.0,10404734.0
155261.0,547.0,3515.0,577027600.0,30442242.0,52113581.0
143771.0,38.0,1502.0,561563773.0,3647237.0,226210682.0
108106.0,55.0,2103.0,559054318.0,34485275.0,265008.0
60776.0,339.0,4269.0,546645846.0,34729910.0,8244433.0
101742.0,133.0,962.0,544523135.0,18984793.0,10006338.0
60847.0,888.0,4723.0,541012147.0,24394182.0,10840367.0
26840.0,208.0,2757.0,538689933.0,2096163.0,64004787.0
