NR_FIRME,NSAL,CFA,PROFITN,PIERDEREN,Populatie
36.92695148025237,305.8567362304393,49335431.69327229,2166548.1144326245,3967109.852171518,381185
18.63641285013843,156.93625972499342,36081963.322660975,1840391.355389541,398182.3194592672,646530
21.65503312975522,171.33659536162347,27503311.010715783,1277961.9055248583,960268.6851608632,474347
0.14947335554396676,2.937270066086204,1740038.1645810783,36319.14079868122,31500.314368565232,2107399
21.210690541120705,137.1171703743134,22978591.743358534,885058.1471708156,898684.8703137267,747689
15.798861939545583,113.75600306711328,17366166.463537674,643649.7130634811,620676.0095241938,619475
14.143069592400376,114.60135360708975,15803537.93438344,630368.9975416553,354003.8028468239,329490
17.646893765082215,130.72001795835905,27290401.84634379,1304963.597844997,780701.2318311915,356380
30.372214091024617,234.75911692272635,46384174.11547664,2419552.3658863637,1681621.9927958562,456404
17.41331356635559,136.55687124221518,19913784.06160708,772663.7523045635,812867.0559874303,631356
10.531963308268166,63.29407245656739,9434494.785164649,513094.6665887294,302734.0079078448,479018
29.299400086927875,202.35231258599353,38443025.3724195,2441106.139211946,1630727.8894521052,722438
60.85537262110384,435.1751786648074,76288765.78192593,3860797.1160093173,3787606.4715483226,315535
65.84586517695867,400.0402074950426,80425042.11430503,4517755.5110159395,3150377.7524619475,328297
10.683960426891018,68.03380852224039,22746444.344473008,1463222.4870816132,1188945.590870141,770220
20.668379564085086,177.83545697656126,28384298.415569887,1864366.8265953541,694948.3552689074,228852
23.665304439750297,160.14644727311924,26139390.944626518,1749699.3557000782,1399613.1307075953,528791
15.692597454483192,161.38919011471947,33312524.12676217,2012816.484504309,571605.4349066834,700840
15.71927986049139,117.26146129263786,15244714.681425324,693944.3384666607,426348.356707575,366429
7.22018805703395,42.79760539655677,5403559.291741465,251194.40415655077,69698.8904793161,632255
16.444588885277867,118.80980753258946,27276315.520167552,1433348.4382334887,768020.2144946377,276930
18.29344800233081,163.49051407523663,23716033.42031334,937572.487947208,1381330.3283761109,470223
23.002555506622446,343.07301918277716,24498605.385438107,783553.3345916133,525926.9059196078,333789
16.66074046029996,159.56502497959934,93758960.23728701,4419931.187790821,3672042.7249634834,390919
9.053588707382321,46.19998292446923,12484771.735727701,472987.2538277648,424617.87808071036,281104
7.302487579473995,45.439148108258344,7005630.312380572,268000.120513845,365955.39684883435,921056
28.504729882754656,416.73490008884863,44497117.848121114,2180009.588683124,1018935.1370185189,287005
12.29767558537962,79.23078238758488,11032313.869140266,404058.89619287074,479295.6801350065,526197
18.066511053874223,137.46746887744152,18159895.81488785,742787.4191752522,812435.616883988,596352
14.034432108953698,96.79467549700955,17016868.965254746,878050.5530209842,345093.29817804974,578007
21.961526248353994,196.5945200551592,45820262.81218565,2365291.113464925,2197915.3404258625,450333
15.821713528887043,135.2406862418056,20854388.02610348,1245142.173033158,533792.0184730799,809394
14.675584967482072,107.12294381427431,15781154.48652675,601192.1216413749,949614.8008774781,464513
36.10967576562685,379.9510942757518,74619532.67366211,5617243.714882069,2137189.3652427588,245779
11.81670481855791,74.94900104333743,12699448.453420954,741001.4637868478,190366.47876211387,385302
11.195482604644669,67.48033842873906,9880410.906029906,364693.3600410282,270240.25647979334,744854
18.961340796752758,158.08209761366984,17412028.39290975,775742.8393728109,378695.94749418966,244392
10.665472198346308,82.35240312767763,10654396.711445777,595279.517693062,627305.9197473323,743427
48.9722072522904,372.08150486308926,65546250.370826595,4343775.535709703,2911071.9223958733,389670
13.885066363178787,102.25607533640293,13776529.782227611,644656.3619638443,281768.3871751576,403311
297.43402470977003,3079.4538109125456,864542848.1636218,59748123.68419708,43887493.4420536,391586
12.35268205920976,104.34016522881032,18043843.304825544,590396.8109509799,915793.2956831064,481272
