,PC1,PC2,PC3,PC4
Three_Letter_Country_Code,0.13536284399042195,0.6362719674033837,1.0000000000000002,1.0169457886597157
RS,0.0028881311760803607,0.6136028041610457,0.9999999999999998,1.2716049382716046
FR,0.6474320505537409,0.9741614314329188,0.9999999999999998,1.9702970297029705
LM,0.5422943996350235,0.5485134587152221,1.0000000000000002,1.4093484419263458
MMR,0.6336055793632147,0.9219748006007964,1.0,1.9142857142857141
LE,0.9161035242275553,0.9782934792227204,1.0,1.3717357910906296
LEM,0.7484970951438998,0.8316637621651761,1.0000000000000002,1.2606924643584523
LEF,0.9282812623605814,0.9897476047277393,1.0,1.381679389312977
