2000,2005,2010,2015,2018
6.100908455,6.130813329,0.21,0.21,0.21
6.57,7.65,7.69,6.74,7.17
0.58,0.81,0.65,0.93,0.95
13.28,12.55,11.11,11.01,11.02
2.76,4.89,8.16,7.96,6.94
5.13,5.37,5.6,5.89,6.38
8.75,8.66,,9.55,9.65
4.23,5.79,5.69,5.84,5.55
11.72,12.08,12.39,10.83,10.51
13.12,12.79,12.2,12.07,11.96
3.45,1.81,2.97,4.58,4.41
5.58,4.28,4.12,4.55,4.78
1.74,1.76,1.69,1.3,1.09
0.23,0.16,0.16,0.021,0.019
7.11,7.4,7.95,9.33,9.69
15.17,15.3,17.43,12.0,11.45
12.49,13.13,11.4,11.82,11.08
5.55,7.16,7.08,6.74,6.22
2.46,2.23,2.47,2.97,2.81
2.77,1.6,0.92,0.42,0.43
3.44,4.37,5.56,4.64,4.43
6.37,7.2,7.32,6.92,7.15
9.05,9.61,8.62,6.86,6.59
8.78,8.32,8.49,7.86,7.42
0.23,0.21,0.51,0.46,0.48
11.8,11.42,11.32,12.34,12.65
8.4,9.19,8.58,11.83,12.03
9.82,8.44,7.66,7.03,7.19
1.87,2.69,4.91,6.37,6.64
6.69,7.62,8.43,6.17,5.65
6.100908455,6.130813329,10.1,8.88,8.94
6.03,6.95,7.51,5.95,5.6
3.68,3.62,3.98,2.43,2.38
4.34,4.62,6.58,1.45,1.37
7.74,8.93,9.31,9.26,9.07
3.81,4.02,7.07,7.15,7.05
5.58,5.41,5.04,5.78,5.74
0.19,0.44,0.25,0.88,0.69
3.45,3.75,6.17,7.9,9.27
5.55,5.42,4.8,4.76,4.87
7.25,3.3,2.53,2.61,2.71
12.45,10.31,10.08,9.07,9.23
4.98,5.36,5.02,5.67,5.83
10.86,12.43,11.35,10.76,10.81
15.0,14.76,14.06,14.25,14.45
0.95,0.86,1.75,2.05,2.0
12.67,12.29,11.0,10.36,10.26
1.62,1.28,0.67,0.49,0.43
8.38,8.72,9.65,11.32,11.18
7.19,6.15,6.11,6.61,6.68
5.96,5.81,6.16,4.98,4.2
0.25,0.29,0.36,0.4,0.36
3.86,3.8,3.31,3.59,3.89
7.45,8.91,9.2,9.08,7.23
1.57,2.08,1.38,1.42,1.44
9.57,15.65,12.39,12.39,9.23
7.46,6.71,6.82,9.84,10.04
1.76,2.05,2.5,2.19,2.36
3.24,2.78,3.0,3.33,3.32
