,Variance
Alcohol,5.440310730171017
Accidents,1.6893241466582298
Taccidents,1.3909335871647726
Heart,0.9702466161877752
ChronicDis,0.8812226868405642
Liver,0.6229764481418512
Cancer,0.4266304638263811
DiabetesM,0.28395078635257615
Drugs,0.21026386572416927
HIV,0.1825787028305759
Homicide,0.07460228785210166
Pneumonia,0.024232592508072984
NervousSystem,0.008559493422341276
Suicide,0.0
