,0
Alcohol,0.8676354602051211
Accidents,0.9399150132336596
Taccidents,0.9710243097479018
Heart,0.9950005065592141
ChronicDis,0.9950001270538442
Liver,0.9950001613995254
Cancer,0.9950003765874139
DiabetesM,0.8336201120968775
Drugs,0.7437876819305037
HIV,0.7795838780941644
Homicide,0.9950008342580828
Pneumonia,0.5055499111165612
NervousSystem,0.6604363659265107
Suicide,0.9292776694710478
