Siruta,Localitate,Judet,i_0_4,i_10_14,i_15_19,i_20_24,i_25_29,i_30_34,i_35_39,i_40_44,i_45_49,i_5_9,i_50_54,i_55_59,i_60_64,i_65_69,i_70_74,i_75_79,i_80_84,i_85
1017,Municipiul Alba Iulia,AB,0.048,0.042,0.042,0.047,0.08,0.087,0.096,0.085,0.082,0.05,0.067,0.079,0.075,0.049,0.026,0.022,0.013,0.009
1071,Ciugud,AB,0.042,0.04,0.055,0.055,0.073,0.072,0.078,0.085,0.077,0.046,0.059,0.064,0.077,0.056,0.037,0.034,0.031,0.021
1151,Oras Abrud,AB,0.026,0.041,0.052,0.069,0.08,0.067,0.069,0.085,0.108,0.04,0.081,0.074,0.066,0.05,0.035,0.028,0.016,0.01
1213,Municipiul Aiud,AB,0.04,0.042,0.044,0.049,0.076,0.074,0.085,0.083,0.084,0.043,0.065,0.081,0.083,0.056,0.034,0.029,0.02,0.012
1348,Municipiul Blaj,AB,0.044,0.054,0.056,0.054,0.076,0.071,0.083,0.082,0.075,0.054,0.057,0.07,0.073,0.054,0.034,0.031,0.019,0.013
1455,Oras Campeni,AB,0.036,0.043,0.052,0.068,0.078,0.065,0.074,0.079,0.086,0.041,0.075,0.077,0.065,0.056,0.037,0.035,0.022,0.012
1696,Oras Cugir,AB,0.033,0.041,0.041,0.05,0.075,0.073,0.082,0.069,0.088,0.04,0.069,0.09,0.086,0.058,0.036,0.037,0.02,0.012
1794,Oras Ocna Mures,AB,0.04,0.047,0.057,0.059,0.07,0.061,0.076,0.088,0.09,0.044,0.061,0.067,0.063,0.054,0.04,0.042,0.026,0.017
1874,Municipiul Sebes,AB,0.049,0.055,0.055,0.061,0.077,0.074,0.091,0.088,0.078,0.06,0.055,0.064,0.068,0.045,0.029,0.025,0.015,0.011
1936,Oras Zlatna,AB,0.037,0.043,0.051,0.062,0.077,0.064,0.07,0.086,0.098,0.036,0.068,0.069,0.061,0.05,0.044,0.044,0.026,0.016
2130,Albac,AB,0.048,0.055,0.062,0.061,0.07,0.059,0.074,0.084,0.085,0.047,0.069,0.052,0.04,0.05,0.045,0.045,0.031,0.023
2309,Almasu Mare,AB,0.026,0.049,0.053,0.057,0.061,0.049,0.062,0.075,0.082,0.037,0.073,0.064,0.066,0.071,0.061,0.055,0.04,0.02
2381,Arieseni,AB,0.026,0.062,0.067,0.06,0.062,0.072,0.067,0.085,0.078,0.042,0.053,0.061,0.052,0.056,0.058,0.04,0.034,0.026
2577,Avram Iancu,AB,0.031,0.052,0.059,0.06,0.059,0.052,0.083,0.083,0.068,0.049,0.049,0.042,0.053,0.053,0.056,0.07,0.054,0.026
2915,Oras Baia De Aries,AB,0.025,0.036,0.067,0.065,0.082,0.057,0.064,0.081,0.107,0.031,0.086,0.079,0.056,0.051,0.039,0.045,0.022,0.009
2988,Berghin,AB,0.037,0.056,0.051,0.055,0.072,0.066,0.07,0.068,0.075,0.045,0.052,0.059,0.068,0.052,0.046,0.05,0.046,0.034
3039,Bistra,AB,0.036,0.054,0.062,0.077,0.074,0.068,0.075,0.092,0.075,0.042,0.073,0.063,0.049,0.047,0.042,0.035,0.025,0.014
3397,Blandiana,AB,0.035,0.037,0.044,0.052,0.045,0.073,0.071,0.078,0.086,0.033,0.055,0.063,0.074,0.078,0.044,0.058,0.05,0.024
3459,Bucium,AB,0.025,0.034,0.037,0.056,0.071,0.052,0.064,0.076,0.094,0.022,0.059,0.087,0.075,0.063,0.066,0.059,0.039,0.021
3761,Cenade,AB,0.051,0.065,0.065,0.075,0.072,0.055,0.068,0.083,0.091,0.062,0.056,0.044,0.047,0.046,0.034,0.028,0.033,0.025
3805,Cergau,AB,0.068,0.058,0.072,0.077,0.074,0.064,0.065,0.084,0.072,0.048,0.053,0.053,0.055,0.045,0.035,0.029,0.028,0.02
3841,Ceru-Bacainti,AB,0.016,0.062,0.035,0.031,0.054,0.066,0.082,0.058,0.062,0.035,0.039,0.062,0.097,0.097,0.074,0.054,0.023,0.051
3958,Cetatea De Balta,AB,0.052,0.076,0.07,0.066,0.084,0.072,0.076,0.07,0.068,0.064,0.044,0.05,0.048,0.038,0.031,0.037,0.035,0.019
4008,Ciuruleasa,AB,0.034,0.056,0.058,0.052,0.085,0.059,0.067,0.074,0.073,0.043,0.076,0.052,0.075,0.053,0.048,0.05,0.027,0.019
4106,Calnic,AB,0.057,0.076,0.074,0.068,0.077,0.079,0.085,0.064,0.065,0.08,0.046,0.058,0.054,0.029,0.027,0.027,0.016,0.018
4142,Cricau,AB,0.039,0.053,0.057,0.054,0.063,0.079,0.081,0.088,0.078,0.051,0.05,0.067,0.072,0.049,0.032,0.037,0.027,0.024
4188,Craciunelu De Jos,AB,0.046,0.061,0.062,0.05,0.079,0.085,0.073,0.081,0.075,0.055,0.059,0.061,0.055,0.048,0.034,0.036,0.023,0.015
4240,Daia Romana,AB,0.046,0.052,0.062,0.056,0.073,0.075,0.082,0.082,0.075,0.054,0.054,0.067,0.061,0.048,0.04,0.034,0.022,0.017
4268,Dostat,AB,0.049,0.072,0.079,0.065,0.076,0.073,0.062,0.074,0.077,0.059,0.049,0.037,0.035,0.043,0.047,0.037,0.034,0.031
4302,Farau,AB,0.035,0.056,0.067,0.052,0.061,0.063,0.067,0.067,0.068,0.04,0.045,0.051,0.059,0.065,0.046,0.075,0.049,0.035
4366,Galda De Jos,AB,0.039,0.043,0.052,0.057,0.069,0.064,0.083,0.086,0.095,0.039,0.062,0.064,0.061,0.055,0.041,0.04,0.027,0.023
4482,Garbova,AB,0.062,0.067,0.06,0.075,0.088,0.071,0.072,0.07,0.078,0.06,0.054,0.056,0.042,0.036,0.026,0.038,0.029,0.016
4525,Garda De Sus,AB,0.035,0.045,0.052,0.065,0.068,0.063,0.064,0.08,0.083,0.042,0.066,0.063,0.054,0.057,0.055,0.052,0.031,0.025
4703,Hoparta,AB,0.064,0.068,0.064,0.053,0.063,0.055,0.073,0.07,0.055,0.057,0.04,0.047,0.067,0.06,0.048,0.046,0.038,0.033
4767,Horea,AB,0.041,0.058,0.077,0.082,0.058,0.056,0.078,0.087,0.073,0.042,0.061,0.048,0.042,0.059,0.042,0.056,0.026,0.015
4927,Ighiu,AB,0.048,0.052,0.058,0.058,0.078,0.077,0.086,0.086,0.08,0.055,0.053,0.06,0.054,0.053,0.033,0.032,0.024,0.013
4981,Intregalde,AB,0.014,0.03,0.046,0.054,0.061,0.057,0.046,0.067,0.088,0.027,0.045,0.053,0.069,0.088,0.08,0.078,0.057,0.04
5103,Jidvei,AB,0.046,0.057,0.071,0.069,0.087,0.066,0.078,0.082,0.086,0.057,0.059,0.053,0.048,0.044,0.031,0.031,0.021,0.015
5167,Livezile,AB,0.025,0.035,0.034,0.041,0.059,0.059,0.064,0.096,0.078,0.029,0.067,0.057,0.072,0.068,0.061,0.091,0.042,0.022
5210,Lopadea Noua,AB,0.035,0.05,0.056,0.056,0.059,0.059,0.084,0.084,0.074,0.035,0.056,0.067,0.075,0.065,0.045,0.049,0.031,0.021
5309,Lunca Muresului,AB,0.051,0.057,0.064,0.069,0.077,0.06,0.079,0.097,0.073,0.05,0.047,0.058,0.055,0.05,0.042,0.03,0.024,0.016
5336,Lupsa,AB,0.026,0.047,0.059,0.072,0.067,0.055,0.066,0.086,0.097,0.028,0.079,0.068,0.055,0.054,0.051,0.048,0.027,0.014
5577,Metes,AB,0.046,0.037,0.038,0.053,0.074,0.064,0.079,0.075,0.072,0.032,0.067,0.056,0.068,0.063,0.055,0.054,0.038,0.027
5700,Mihalt,AB,0.036,0.042,0.056,0.064,0.072,0.064,0.07,0.079,0.085,0.038,0.061,0.066,0.07,0.055,0.046,0.039,0.027,0.03
5755,Miraslau,AB,0.034,0.043,0.051,0.061,0.066,0.061,0.072,0.088,0.09,0.04,0.062,0.062,0.063,0.064,0.042,0.042,0.032,0.026
5826,Mogos,AB,0.015,0.026,0.044,0.047,0.057,0.047,0.074,0.062,0.076,0.025,0.049,0.052,0.065,0.1,0.084,0.085,0.052,0.042
6048,Noslac,AB,0.046,0.062,0.051,0.063,0.066,0.056,0.068,0.081,0.075,0.039,0.051,0.054,0.072,0.064,0.045,0.036,0.034,0.039
6119,Ocolis,AB,0.022,0.022,0.046,0.034,0.037,0.061,0.051,0.083,0.066,0.024,0.068,0.058,0.078,0.076,0.08,0.085,0.076,0.034
6164,Ohaba,AB,0.03,0.034,0.033,0.036,0.064,0.039,0.039,0.062,0.065,0.049,0.052,0.044,0.047,0.077,0.08,0.104,0.081,0.065
6217,Pianu,AB,0.047,0.049,0.06,0.068,0.086,0.063,0.078,0.08,0.07,0.047,0.055,0.065,0.066,0.048,0.043,0.033,0.021,0.02
6271,Poiana Vadului,AB,0.039,0.063,0.064,0.068,0.068,0.059,0.068,0.077,0.079,0.06,0.066,0.052,0.061,0.042,0.041,0.045,0.03,0.018
6397,Ponor,AB,0.023,0.033,0.042,0.057,0.076,0.064,0.068,0.059,0.078,0.026,0.064,0.062,0.054,0.056,0.066,0.068,0.066,0.038
6468,Posaga,AB,0.012,0.034,0.066,0.054,0.065,0.044,0.064,0.085,0.069,0.026,0.066,0.069,0.071,0.051,0.058,0.069,0.054,0.044
6547,Radesti,AB,0.041,0.055,0.054,0.041,0.063,0.065,0.071,0.083,0.077,0.045,0.048,0.066,0.081,0.069,0.045,0.046,0.031,0.019
6592,Rametea,AB,0.014,0.042,0.032,0.058,0.057,0.057,0.07,0.098,0.086,0.032,0.067,0.057,0.088,0.062,0.045,0.071,0.036,0.028
6627,Ramet,AB,0.015,0.015,0.028,0.037,0.044,0.041,0.076,0.074,0.089,0.022,0.068,0.068,0.077,0.057,0.081,0.1,0.065,0.044
6761,Rosia Montana,AB,0.04,0.04,0.062,0.063,0.08,0.073,0.072,0.083,0.083,0.052,0.08,0.063,0.051,0.049,0.036,0.038,0.022,0.013
6930,Rosia De Secas,AB,0.056,0.071,0.078,0.06,0.068,0.049,0.067,0.068,0.063,0.064,0.048,0.036,0.044,0.052,0.04,0.065,0.044,0.027
6976,Salciua,AB,0.025,0.041,0.049,0.061,0.074,0.059,0.066,0.081,0.098,0.029,0.063,0.066,0.067,0.065,0.054,0.054,0.029,0.021
7044,Salistea,AB,0.051,0.056,0.063,0.06,0.072,0.068,0.079,0.072,0.077,0.045,0.045,0.051,0.06,0.058,0.046,0.043,0.031,0.024
7099,Sasciori,AB,0.071,0.075,0.067,0.073,0.084,0.075,0.072,0.071,0.068,0.072,0.046,0.051,0.053,0.036,0.031,0.024,0.019,0.014
7197,Scarisoara,AB,0.056,0.057,0.06,0.052,0.067,0.054,0.074,0.067,0.067,0.049,0.053,0.064,0.051,0.053,0.048,0.057,0.046,0.026
7348,Sancel,AB,0.039,0.061,0.064,0.068,0.068,0.057,0.074,0.086,0.082,0.05,0.052,0.057,0.053,0.053,0.044,0.04,0.026,0.026
7384,Santimbru,AB,0.041,0.055,0.057,0.055,0.078,0.075,0.091,0.081,0.079,0.046,0.054,0.059,0.059,0.049,0.039,0.035,0.028,0.02
7446,Sohodol,AB,0.029,0.046,0.059,0.062,0.069,0.071,0.06,0.073,0.083,0.036,0.061,0.072,0.066,0.06,0.046,0.051,0.036,0.019
7767,Stremt,AB,0.033,0.035,0.058,0.059,0.073,0.057,0.071,0.079,0.093,0.046,0.055,0.058,0.071,0.063,0.053,0.038,0.033,0.024
7810,Sibot,AB,0.036,0.038,0.045,0.065,0.071,0.073,0.062,0.079,0.09,0.034,0.061,0.073,0.066,0.056,0.04,0.052,0.031,0.029
7865,Sona,AB,0.041,0.055,0.068,0.063,0.084,0.064,0.074,0.086,0.08,0.044,0.055,0.058,0.055,0.053,0.039,0.037,0.025,0.021
7945,Spring,AB,0.046,0.057,0.07,0.067,0.078,0.069,0.069,0.064,0.074,0.051,0.052,0.064,0.059,0.046,0.032,0.036,0.031,0.036
8014,Sugag,AB,0.058,0.053,0.059,0.071,0.083,0.07,0.078,0.077,0.068,0.055,0.058,0.064,0.063,0.05,0.025,0.03,0.023,0.015
8096,Oras Teius,AB,0.045,0.052,0.05,0.06,0.082,0.068,0.075,0.081,0.091,0.053,0.057,0.063,0.062,0.052,0.034,0.032,0.022,0.02
8158,Unirea,AB,0.042,0.056,0.055,0.059,0.072,0.054,0.074,0.075,0.075,0.051,0.053,0.061,0.061,0.055,0.046,0.051,0.034,0.025
8229,Vadu Motilor,AB,0.036,0.045,0.071,0.057,0.066,0.056,0.084,0.086,0.082,0.049,0.057,0.055,0.057,0.049,0.044,0.045,0.032,0.028
8354,Valea Lunga,AB,0.044,0.066,0.064,0.062,0.069,0.067,0.08,0.08,0.076,0.052,0.056,0.058,0.053,0.046,0.033,0.038,0.032,0.024
8425,Vidra,AB,0.034,0.051,0.059,0.065,0.052,0.051,0.072,0.078,0.081,0.042,0.063,0.06,0.045,0.06,0.051,0.067,0.041,0.03
8826,Vintu De Jos,AB,0.049,0.052,0.057,0.056,0.085,0.068,0.081,0.082,0.083,0.047,0.056,0.065,0.062,0.052,0.038,0.034,0.018,0.014
9019,Cut,AB,0.043,0.04,0.058,0.065,0.076,0.058,0.078,0.065,0.085,0.047,0.055,0.065,0.067,0.05,0.043,0.042,0.031,0.032
9026,Bucerdea Granoasa,AB,0.053,0.065,0.063,0.064,0.07,0.074,0.085,0.083,0.074,0.061,0.055,0.063,0.052,0.041,0.027,0.028,0.025,0.015
9262,Municipiul Arad,AR,0.042,0.041,0.04,0.049,0.076,0.076,0.089,0.086,0.093,0.046,0.057,0.074,0.074,0.057,0.033,0.033,0.02,0.014
9280,Fantanele,AR,0.046,0.05,0.058,0.06,0.081,0.083,0.099,0.09,0.087,0.052,0.051,0.065,0.056,0.049,0.027,0.02,0.012,0.013
9333,Livada,AR,0.049,0.043,0.051,0.053,0.076,0.079,0.097,0.091,0.082,0.052,0.056,0.064,0.058,0.05,0.034,0.029,0.021,0.017
9360,Sofronea,AR,0.043,0.041,0.048,0.056,0.07,0.069,0.083,0.107,0.088,0.041,0.053,0.074,0.063,0.056,0.037,0.033,0.021,0.016
9397,Vladimirescu,AR,0.05,0.051,0.053,0.059,0.083,0.084,0.086,0.091,0.085,0.052,0.057,0.066,0.062,0.047,0.026,0.022,0.013,0.011
9459,Oras Chisineu-Cris,AR,0.043,0.053,0.061,0.053,0.068,0.062,0.086,0.084,0.083,0.047,0.056,0.074,0.071,0.057,0.035,0.033,0.021,0.011
9495,Oras Curtici,AR,0.054,0.059,0.063,0.066,0.08,0.068,0.074,0.078,0.084,0.056,0.053,0.064,0.063,0.05,0.03,0.025,0.02,0.012
9538,Oras Ineu,AR,0.045,0.044,0.046,0.055,0.075,0.072,0.085,0.081,0.08,0.044,0.059,0.077,0.077,0.062,0.032,0.032,0.022,0.012
9574,Oras Lipova,AR,0.038,0.043,0.049,0.058,0.087,0.067,0.085,0.076,0.087,0.043,0.056,0.07,0.072,0.061,0.033,0.035,0.023,0.015
9627,Oras Nadlac,AR,0.04,0.053,0.052,0.063,0.079,0.068,0.08,0.086,0.09,0.045,0.057,0.067,0.064,0.053,0.033,0.033,0.021,0.015
9654,Oras Pancota,AR,0.051,0.057,0.074,0.068,0.083,0.075,0.074,0.075,0.085,0.063,0.054,0.06,0.054,0.04,0.025,0.034,0.015,0.014
9690,Oras Sebis,AR,0.038,0.046,0.054,0.054,0.077,0.068,0.074,0.08,0.084,0.046,0.056,0.076,0.072,0.065,0.032,0.039,0.024,0.014
9743,Almas,AR,0.045,0.048,0.061,0.068,0.069,0.055,0.077,0.084,0.076,0.045,0.053,0.066,0.072,0.058,0.035,0.043,0.026,0.018
9798,Apateu,AR,0.039,0.059,0.058,0.062,0.074,0.072,0.08,0.08,0.07,0.05,0.053,0.065,0.063,0.058,0.032,0.039,0.027,0.017
9832,Archis,AR,0.054,0.054,0.068,0.049,0.063,0.063,0.085,0.091,0.08,0.047,0.038,0.063,0.065,0.063,0.039,0.041,0.026,0.01
9887,Bata,AR,0.039,0.06,0.06,0.051,0.061,0.048,0.073,0.063,0.084,0.061,0.044,0.059,0.052,0.059,0.056,0.059,0.041,0.028
9930,Beliu,AR,0.039,0.055,0.053,0.054,0.07,0.056,0.076,0.079,0.093,0.044,0.055,0.063,0.062,0.061,0.039,0.055,0.03,0.018
10006,Birchis,AR,0.026,0.058,0.072,0.072,0.082,0.049,0.074,0.075,0.083,0.055,0.053,0.056,0.053,0.067,0.038,0.051,0.021,0.015
10051,Barsa,AR,0.046,0.046,0.045,0.052,0.064,0.058,0.079,0.077,0.097,0.047,0.053,0.063,0.066,0.07,0.048,0.041,0.027,0.021
10104,Barzava,AR,0.036,0.048,0.055,0.055,0.069,0.051,0.076,0.073,0.083,0.037,0.057,0.064,0.071,0.074,0.043,0.049,0.034,0.027
10195,Bocsig,AR,0.04,0.05,0.059,0.06,0.073,0.062,0.074,0.09,0.088,0.047,0.054,0.062,0.06,0.059,0.031,0.045,0.029,0.017
10239,Brazii,AR,0.038,0.063,0.066,0.072,0.07,0.061,0.065,0.077,0.069,0.041,0.053,0.055,0.069,0.065,0.035,0.059,0.027,0.015
10293,Buteni,AR,0.038,0.053,0.06,0.063,0.069,0.059,0.071,0.074,0.079,0.048,0.063,0.07,0.062,0.059,0.044,0.045,0.026,0.019
10346,Carand,AR,0.037,0.053,0.064,0.067,0.057,0.061,0.07,0.083,0.091,0.046,0.041,0.056,0.069,0.066,0.042,0.05,0.027,0.019
10373,Cermei,AR,0.045,0.051,0.058,0.061,0.073,0.06,0.062,0.081,0.085,0.052,0.061,0.064,0.062,0.062,0.034,0.038,0.034,0.018
10417,Chisindia,AR,0.03,0.055,0.045,0.043,0.059,0.046,0.085,0.084,0.077,0.037,0.046,0.066,0.071,0.085,0.036,0.06,0.047,0.027
10453,Conop,AR,0.06,0.059,0.06,0.068,0.084,0.053,0.077,0.074,0.081,0.056,0.044,0.062,0.056,0.053,0.04,0.03,0.026,0.017
10514,Covasint,AR,0.065,0.058,0.067,0.075,0.081,0.07,0.075,0.086,0.083,0.058,0.048,0.054,0.05,0.047,0.026,0.031,0.015,0.011
10532,Craiva,AR,0.054,0.06,0.065,0.057,0.069,0.054,0.075,0.065,0.071,0.054,0.052,0.051,0.059,0.055,0.039,0.052,0.039,0.027
10649,Dezna,AR,0.02,0.027,0.051,0.057,0.056,0.05,0.07,0.085,0.099,0.027,0.056,0.083,0.083,0.08,0.042,0.056,0.037,0.022
10701,Dieci,AR,0.03,0.048,0.056,0.062,0.066,0.06,0.072,0.082,0.095,0.034,0.048,0.058,0.063,0.071,0.054,0.054,0.026,0.019
10765,Ususau,AR,0.077,0.082,0.08,0.07,0.072,0.055,0.073,0.066,0.079,0.065,0.045,0.039,0.047,0.057,0.027,0.029,0.018,0.018
10827,Felnac,AR,0.05,0.065,0.073,0.064,0.08,0.07,0.085,0.079,0.069,0.057,0.051,0.058,0.059,0.052,0.03,0.026,0.018,0.013
10872,Ghioroc,AR,0.038,0.048,0.055,0.062,0.068,0.068,0.077,0.09,0.083,0.034,0.063,0.068,0.074,0.056,0.037,0.033,0.026,0.018
10916,Graniceri,AR,0.046,0.069,0.073,0.07,0.083,0.065,0.081,0.081,0.079,0.043,0.051,0.051,0.051,0.043,0.033,0.03,0.035,0.017
10943,Gurahont,AR,0.037,0.042,0.053,0.058,0.071,0.057,0.068,0.075,0.086,0.041,0.051,0.073,0.07,0.076,0.046,0.047,0.027,0.022
11058,Halmagiu,AR,0.017,0.03,0.046,0.042,0.05,0.057,0.061,0.076,0.09,0.028,0.063,0.084,0.098,0.082,0.046,0.068,0.039,0.024
11174,Halmagel,AR,0.024,0.03,0.032,0.044,0.073,0.056,0.052,0.064,0.074,0.028,0.059,0.07,0.086,0.084,0.048,0.091,0.048,0.037
11236,Hasmas,AR,0.046,0.046,0.058,0.054,0.058,0.054,0.084,0.081,0.076,0.058,0.044,0.042,0.07,0.082,0.042,0.058,0.032,0.016
11307,Ignesti,AR,0.029,0.06,0.064,0.065,0.064,0.061,0.087,0.064,0.083,0.039,0.06,0.064,0.057,0.058,0.044,0.053,0.033,0.015
11352,Iratosu,AR,0.038,0.047,0.05,0.053,0.086,0.059,0.086,0.084,0.097,0.043,0.052,0.074,0.078,0.047,0.032,0.032,0.028,0.014
11398,Macea,AR,0.044,0.061,0.06,0.07,0.07,0.073,0.083,0.093,0.084,0.049,0.05,0.059,0.063,0.05,0.03,0.027,0.019,0.016
11423,Misca,AR,0.067,0.081,0.081,0.056,0.068,0.057,0.065,0.077,0.07,0.086,0.044,0.043,0.05,0.045,0.035,0.037,0.024,0.014
11478,Moneasa,AR,0.011,0.033,0.04,0.054,0.055,0.068,0.064,0.065,0.093,0.025,0.087,0.098,0.09,0.065,0.047,0.058,0.036,0.01
11502,Olari,AR,0.047,0.054,0.068,0.056,0.074,0.068,0.083,0.083,0.072,0.06,0.05,0.061,0.058,0.054,0.029,0.034,0.032,0.016
11539,Paulis,AR,0.042,0.052,0.068,0.071,0.08,0.066,0.079,0.076,0.084,0.044,0.062,0.066,0.053,0.049,0.038,0.031,0.023,0.015
11584,Oras Pecica,AR,0.049,0.049,0.058,0.061,0.084,0.072,0.082,0.087,0.089,0.054,0.056,0.063,0.058,0.046,0.032,0.028,0.021,0.011
11637,Peregu Mare,AR,0.031,0.03,0.043,0.049,0.084,0.063,0.076,0.078,0.098,0.034,0.061,0.078,0.063,0.06,0.053,0.044,0.031,0.024
11664,Petris,AR,0.03,0.038,0.059,0.063,0.071,0.059,0.072,0.059,0.095,0.043,0.05,0.065,0.066,0.078,0.054,0.053,0.024,0.022
11735,Pilu,AR,0.067,0.078,0.082,0.067,0.078,0.065,0.084,0.082,0.073,0.071,0.043,0.052,0.034,0.037,0.024,0.027,0.023,0.013
11762,Plescuta,AR,0.027,0.041,0.046,0.05,0.055,0.053,0.059,0.078,0.076,0.024,0.049,0.054,0.084,0.077,0.058,0.076,0.054,0.04
11842,Savarsin,AR,0.043,0.043,0.05,0.061,0.085,0.053,0.065,0.072,0.081,0.046,0.049,0.065,0.057,0.075,0.051,0.053,0.026,0.024
11940,Secusigiu,AR,0.059,0.066,0.068,0.068,0.087,0.072,0.078,0.076,0.083,0.065,0.051,0.055,0.047,0.043,0.028,0.024,0.018,0.013
11995,Seleus,AR,0.051,0.047,0.061,0.066,0.066,0.064,0.08,0.09,0.073,0.05,0.049,0.07,0.067,0.055,0.031,0.036,0.025,0.019
12037,Semlac,AR,0.053,0.058,0.067,0.063,0.082,0.073,0.086,0.088,0.075,0.055,0.049,0.055,0.055,0.046,0.031,0.029,0.02,0.016
12055,Sintea Mare,AR,0.047,0.07,0.071,0.07,0.07,0.067,0.084,0.088,0.07,0.059,0.044,0.058,0.055,0.046,0.029,0.036,0.019,0.017
12091,Oras Santana,AR,0.045,0.055,0.066,0.072,0.089,0.071,0.071,0.078,0.091,0.053,0.06,0.06,0.053,0.042,0.027,0.027,0.019,0.02
12126,Socodor,AR,0.051,0.054,0.057,0.056,0.082,0.069,0.086,0.083,0.079,0.06,0.05,0.056,0.058,0.05,0.039,0.036,0.017,0.018
12144,Sagu,AR,0.039,0.052,0.056,0.058,0.082,0.068,0.083,0.08,0.086,0.059,0.047,0.065,0.058,0.06,0.038,0.033,0.019,0.016
12206,Seitin,AR,0.056,0.059,0.067,0.078,0.093,0.067,0.074,0.079,0.087,0.056,0.047,0.053,0.048,0.042,0.031,0.031,0.019,0.013
12224,Sepreus,AR,0.058,0.08,0.068,0.065,0.082,0.075,0.073,0.076,0.069,0.084,0.039,0.05,0.041,0.043,0.033,0.037,0.017,0.011
12242,Sicula,AR,0.04,0.048,0.054,0.059,0.075,0.062,0.067,0.084,0.084,0.048,0.051,0.061,0.07,0.059,0.035,0.044,0.032,0.025
12288,Silindia,AR,0.047,0.053,0.062,0.064,0.079,0.054,0.072,0.072,0.069,0.05,0.059,0.056,0.056,0.059,0.043,0.061,0.031,0.014
12340,Simand,AR,0.06,0.066,0.063,0.075,0.083,0.066,0.079,0.076,0.081,0.064,0.047,0.058,0.056,0.041,0.026,0.027,0.021,0.01
12368,Siria,AR,0.055,0.065,0.065,0.07,0.08,0.072,0.078,0.08,0.076,0.058,0.053,0.058,0.058,0.047,0.028,0.029,0.015,0.014
12402,Sistarovat,AR,0.028,0.075,0.047,0.034,0.072,0.091,0.06,0.069,0.066,0.044,0.063,0.056,0.056,0.066,0.047,0.044,0.041,0.041
12457,Taut,AR,0.03,0.032,0.055,0.052,0.058,0.049,0.064,0.082,0.087,0.036,0.056,0.069,0.066,0.079,0.053,0.067,0.04,0.024
12509,Tarnova,AR,0.051,0.057,0.071,0.081,0.076,0.064,0.072,0.076,0.073,0.059,0.048,0.05,0.051,0.053,0.034,0.042,0.028,0.015
12572,Varadia De Mures,AR,0.032,0.05,0.049,0.066,0.072,0.065,0.062,0.082,0.085,0.034,0.048,0.075,0.071,0.069,0.046,0.051,0.026,0.017
12643,Vinga,AR,0.058,0.056,0.063,0.067,0.078,0.07,0.081,0.082,0.075,0.055,0.048,0.051,0.059,0.056,0.031,0.032,0.021,0.015
12689,Varfurile,AR,0.022,0.036,0.047,0.055,0.062,0.048,0.063,0.089,0.098,0.026,0.058,0.073,0.073,0.076,0.048,0.062,0.037,0.026
12778,Zabrani,AR,0.047,0.054,0.057,0.069,0.084,0.068,0.077,0.077,0.091,0.044,0.06,0.066,0.053,0.048,0.032,0.035,0.019,0.019
12812,Zarand,AR,0.06,0.066,0.079,0.059,0.073,0.056,0.087,0.077,0.068,0.071,0.046,0.052,0.062,0.048,0.03,0.029,0.023,0.016
12849,Zerind,AR,0.042,0.058,0.054,0.051,0.087,0.067,0.08,0.094,0.078,0.047,0.06,0.054,0.071,0.053,0.026,0.034,0.022,0.024
12876,Zimandu Nou,AR,0.044,0.04,0.05,0.057,0.073,0.077,0.089,0.091,0.095,0.043,0.055,0.072,0.071,0.047,0.027,0.032,0.024,0.011
12912,Dorobanti,AR,0.032,0.04,0.048,0.051,0.068,0.05,0.088,0.091,0.073,0.036,0.053,0.07,0.086,0.068,0.049,0.047,0.032,0.017
12920,Frumuseni,AR,0.036,0.051,0.059,0.056,0.09,0.074,0.084,0.094,0.091,0.046,0.06,0.063,0.051,0.059,0.026,0.029,0.018,0.012
12938,Zadareni,AR,0.057,0.051,0.053,0.065,0.097,0.077,0.084,0.088,0.085,0.055,0.05,0.06,0.057,0.045,0.024,0.023,0.012,0.018
13169,Municipiul Pitesti,AG,0.043,0.041,0.042,0.047,0.071,0.08,0.097,0.088,0.091,0.048,0.056,0.071,0.079,0.06,0.032,0.028,0.015,0.01
13187,Bascov,AG,0.045,0.045,0.049,0.057,0.07,0.075,0.093,0.09,0.094,0.052,0.057,0.074,0.066,0.052,0.026,0.028,0.015,0.01
13276,Bradu,AG,0.049,0.046,0.052,0.054,0.077,0.07,0.092,0.098,0.1,0.052,0.057,0.061,0.056,0.047,0.028,0.03,0.022,0.009
13301,Oras Mioveni,AG,0.045,0.042,0.051,0.076,0.101,0.087,0.079,0.082,0.124,0.044,0.083,0.084,0.048,0.025,0.012,0.008,0.006,0.004
13365,Maracineni,AG,0.045,0.053,0.051,0.06,0.071,0.078,0.083,0.089,0.092,0.056,0.056,0.069,0.06,0.047,0.03,0.032,0.017,0.012
13392,Oras Stefanesti,AG,0.052,0.053,0.058,0.059,0.067,0.066,0.088,0.089,0.094,0.058,0.051,0.058,0.062,0.052,0.034,0.029,0.02,0.011
13490,Municipiul Campulung,AG,0.034,0.041,0.044,0.056,0.078,0.068,0.073,0.081,0.102,0.041,0.072,0.082,0.077,0.054,0.035,0.031,0.018,0.011
13524,Valea Mare Pravat,AG,0.056,0.064,0.07,0.067,0.075,0.058,0.071,0.083,0.09,0.062,0.051,0.052,0.049,0.047,0.037,0.037,0.019,0.012
