Siruta,Localitate,Judet,i_0_4,i_10_14,i_15_19,i_20_24,i_25_29,i_30_34,i_35_39,i_40_44,i_45_49,i_5_9,i_50_54,i_55_59,i_60_64,i_65_69,i_70_74,i_75_79,i_80_84,i_85
102240,Cosereni,IL,0.043,0.057,0.059,0.055,0.054,0.057,0.078,0.086,0.084,0.046,0.041,0.043,0.057,0.047,0.056,0.066,0.045,0.027
102286,Crevedia,DB,0.046,0.049,0.05,0.049,0.073,0.067,0.085,0.09,0.104,0.051,0.049,0.052,0.057,0.053,0.04,0.039,0.027,0.018
102348,Crevedia Mare,GR,0.051,0.066,0.076,0.07,0.087,0.062,0.067,0.078,0.094,0.059,0.048,0.046,0.041,0.048,0.036,0.035,0.021,0.015
102419,Curcani,CL,0.06,0.061,0.059,0.062,0.095,0.07,0.071,0.077,0.085,0.065,0.043,0.047,0.044,0.041,0.033,0.04,0.032,0.015
102446,Daia,GR,0.03,0.048,0.047,0.054,0.053,0.05,0.062,0.082,0.087,0.039,0.038,0.057,0.063,0.066,0.065,0.072,0.053,0.034
102473,Dascalu,IF,0.052,0.064,0.054,0.056,0.066,0.075,0.09,0.098,0.091,0.057,0.036,0.048,0.048,0.051,0.034,0.034,0.023,0.022
102525,Darasti-Ilfov,IF,0.03,0.04,0.044,0.063,0.072,0.064,0.086,0.081,0.102,0.043,0.053,0.064,0.06,0.059,0.034,0.05,0.032,0.024
102543,1 Decembrie,IF,0.047,0.047,0.05,0.062,0.091,0.081,0.09,0.083,0.104,0.056,0.065,0.062,0.051,0.034,0.023,0.023,0.019,0.012
102570,Domnesti,IF,0.055,0.047,0.05,0.057,0.085,0.085,0.095,0.088,0.091,0.063,0.047,0.057,0.052,0.04,0.029,0.03,0.018,0.011
102605,Dragomiresti-Vale,IF,0.045,0.047,0.052,0.058,0.073,0.067,0.093,0.088,0.105,0.047,0.049,0.064,0.056,0.047,0.035,0.036,0.024,0.015
102641,Dragoesti,IL,0.05,0.048,0.051,0.048,0.076,0.062,0.092,0.071,0.071,0.059,0.044,0.045,0.062,0.043,0.044,0.063,0.036,0.036
102703,Dridu,IL,0.033,0.05,0.051,0.053,0.07,0.049,0.066,0.079,0.106,0.039,0.049,0.053,0.051,0.059,0.051,0.062,0.046,0.031
102749,Oras Fierbinti-Targ,IL,0.04,0.05,0.051,0.058,0.075,0.059,0.072,0.081,0.094,0.048,0.046,0.054,0.055,0.049,0.048,0.048,0.044,0.027
102794,Floresti-Stoenesti,GR,0.044,0.052,0.066,0.066,0.084,0.066,0.084,0.082,0.098,0.05,0.053,0.049,0.056,0.048,0.031,0.036,0.022,0.013
102838,Frasinet,CL,0.053,0.057,0.057,0.05,0.069,0.06,0.07,0.061,0.082,0.051,0.046,0.054,0.054,0.059,0.045,0.055,0.047,0.029
102909,Fratesti,GR,0.043,0.041,0.052,0.058,0.07,0.062,0.07,0.072,0.089,0.047,0.048,0.061,0.059,0.068,0.05,0.049,0.036,0.023
102945,Frumusani,CL,0.07,0.063,0.062,0.056,0.076,0.071,0.076,0.075,0.078,0.069,0.045,0.053,0.047,0.044,0.034,0.038,0.026,0.018
103014,Fundeni,CL,0.056,0.076,0.06,0.048,0.073,0.066,0.088,0.078,0.079,0.063,0.048,0.053,0.058,0.051,0.031,0.033,0.024,0.013
103032,Oras Fundulea,CL,0.051,0.062,0.061,0.058,0.083,0.065,0.073,0.081,0.088,0.062,0.056,0.057,0.05,0.041,0.036,0.039,0.026,0.014
103087,Gaiseni,GR,0.058,0.06,0.07,0.063,0.085,0.073,0.082,0.08,0.078,0.067,0.046,0.051,0.044,0.042,0.03,0.033,0.024,0.015
103130,Ganeasa,IF,0.072,0.057,0.062,0.061,0.1,0.077,0.09,0.077,0.078,0.077,0.038,0.049,0.046,0.034,0.028,0.023,0.017,0.013
103194,Gaujani,GR,0.048,0.061,0.057,0.06,0.07,0.052,0.066,0.077,0.061,0.045,0.041,0.048,0.057,0.058,0.05,0.055,0.042,0.052
103238,Ghimpati,GR,0.065,0.057,0.061,0.067,0.081,0.059,0.066,0.071,0.071,0.063,0.041,0.049,0.047,0.053,0.036,0.049,0.037,0.027
103283,Garbovi,IL,0.033,0.046,0.055,0.061,0.057,0.047,0.071,0.078,0.085,0.047,0.047,0.055,0.058,0.06,0.058,0.07,0.046,0.029
103309,Gogosari,GR,0.049,0.063,0.065,0.059,0.064,0.055,0.069,0.069,0.061,0.043,0.032,0.045,0.057,0.068,0.054,0.055,0.042,0.05
103354,Gostinu,GR,0.027,0.04,0.049,0.043,0.058,0.05,0.065,0.066,0.067,0.042,0.033,0.07,0.083,0.096,0.048,0.079,0.045,0.039
103372,Gostinari,GR,0.052,0.053,0.064,0.058,0.075,0.056,0.077,0.08,0.078,0.06,0.047,0.048,0.043,0.055,0.041,0.054,0.035,0.024
103407,Gradinari,GR,0.041,0.046,0.06,0.07,0.095,0.064,0.071,0.078,0.097,0.049,0.054,0.056,0.054,0.046,0.033,0.04,0.025,0.021
103443,Gradistea,IF,0.058,0.051,0.056,0.056,0.09,0.062,0.08,0.071,0.093,0.053,0.039,0.057,0.059,0.049,0.034,0.036,0.028,0.024
103470,Greaca,GR,0.034,0.032,0.053,0.05,0.062,0.055,0.058,0.068,0.082,0.042,0.054,0.058,0.057,0.072,0.054,0.065,0.064,0.039
103513,Gruiu,IF,0.044,0.045,0.059,0.061,0.077,0.068,0.083,0.084,0.091,0.048,0.044,0.048,0.056,0.048,0.041,0.048,0.034,0.023
103568,Gurbanesti,CL,0.031,0.071,0.06,0.049,0.058,0.059,0.067,0.076,0.087,0.05,0.033,0.052,0.046,0.045,0.059,0.068,0.05,0.039
103639,Hotarele,GR,0.029,0.039,0.045,0.065,0.068,0.051,0.052,0.066,0.095,0.042,0.059,0.064,0.049,0.062,0.049,0.076,0.052,0.036
