"Code","City","County","Orthodox","Roman_Catholic","Reformed","Pentecostal","Greek_Catholic","Baptist","Seventh.day_Adventist","Islam","Unitarian","Jehova_Witnesses","Evangelical","Old_Calendarists","Evangelical_Lutheran","Serbian_Orthodox","Romanian_Evangelical","Evangelical_Augustan","Judaism","Armenian_Apostolic","Other_Religion","Without_religion","Atheists"
1017,"Municipiul Alba Iulia","AB",0.892,0.021,0.01,0.024,0.021,0.017,0.001,0,0.001,0.005,0.001,0,0,0,0.002,0,0,0,0.001,0.002,0.001
1071,"Ciugud","AB",0.895,0.003,0.003,0.022,0.003,0.033,0,0,0,0.001,0.036,0,0,0,0,0,0,0,0.003,0,0
1151,"Oras Abrud","AB",0.93,0.006,0.007,0.016,0.003,0.026,0,0,0,0.003,0.001,0,0,0,0,0,0,0,0,0.008,0
1213,"Municipiul Aiud","AB",0.776,0.014,0.13,0.011,0.034,0.009,0.005,0,0.011,0.005,0.001,0.001,0,0,0,0,0,0,0.002,0.001,0.001
1348,"Municipiul Blaj","AB",0.744,0.03,0.045,0.012,0.142,0.017,0,0,0,0.002,0.003,0,0.001,0,0.001,0,0,0,0.001,0,0
1455,"Oras Campeni","AB",0.988,0,0,0.004,0.002,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1696,"Oras Cugir","AB",0.935,0.012,0.003,0.014,0.007,0.009,0.001,0,0,0.006,0.003,0.001,0.001,0,0.001,0,0,0,0.001,0.004,0.001
1794,"Oras Ocna Mures","AB",0.789,0.018,0.068,0.046,0.044,0.011,0.007,0,0.001,0.011,0.001,0,0.001,0,0,0,0,0,0.002,0.001,0.001
1874,"Municipiul Sebes","AB",0.906,0.007,0.003,0.034,0.008,0.01,0,0,0,0.011,0.004,0.001,0.003,0,0.004,0.004,0,0,0.002,0.002,0
1936,"Oras Zlatna","AB",0.982,0.004,0.003,0.001,0.001,0.005,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2130,"Albac","AB",0.997,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0
2309,"Almasu Mare","AB",0.96,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2381,"Arieseni","AB",0.962,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2577,"Avram Iancu","AB",0.945,0,0,0.039,0,0.013,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
2915,"Oras Baia De Aries","AB",0.979,0.003,0.003,0.005,0.001,0.004,0,0,0.001,0.002,0.001,0,0,0,0,0,0,0,0,0,0
2988,"Berghin","AB",0.953,0.003,0.004,0.007,0.008,0.012,0,0,0,0,0.003,0,0.011,0,0,0,0,0,0,0,0
3039,"Bistra","AB",0.998,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3397,"Blandiana","AB",0.931,0,0,0,0,0.038,0,0,0,0.017,0.015,0,0,0,0,0,0,0,0,0,0
3459,"Bucium","AB",0.949,0,0,0.005,0.004,0.003,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0
3761,"Cenade","AB",0.67,0,0.004,0.003,0.277,0.007,0,0,0,0,0.003,0,0.036,0,0,0,0,0,0,0,0
3805,"Cergau","AB",0.957,0,0,0.013,0.006,0.022,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
3841,"Ceru-Bacainti","AB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3958,"Cetatea De Balta","AB",0.706,0.006,0.16,0.031,0.087,0.001,0,0,0.002,0,0.002,0,0,0,0,0.005,0,0,0,0,0
4008,"Ciuruleasa","AB",0.931,0,0,0.046,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0
4106,"Calnic","AB",0.903,0.002,0,0.053,0,0.003,0.006,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0
4142,"Cricau","AB",0.974,0,0,0,0.002,0.022,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
4188,"Craciunelu De Jos","AB",0.923,0,0.031,0.003,0.035,0.006,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
4240,"Daia Romana","AB",0.816,0,0,0.033,0.066,0.015,0.001,0,0,0.064,0,0,0,0,0,0,0,0,0,0.004,0
4268,"Dostat","AB",0.951,0,0,0.043,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
4302,"Farau","AB",0.668,0,0.225,0.069,0.021,0,0.002,0,0.006,0.009,0,0,0,0,0,0,0,0,0,0,0
4366,"Galda De Jos","AB",0.901,0.007,0.067,0.003,0.014,0.001,0.006,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
4482,"Garbova","AB",0.834,0.002,0,0.076,0,0.005,0,0,0,0.006,0.056,0,0,0,0.019,0,0,0,0,0.002,0
4525,"Garda De Sus","AB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4703,"Hoparta","AB",0.976,0.003,0.008,0.003,0.003,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4767,"Horea","AB",0.992,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4927,"Ighiu","AB",0.93,0.003,0.004,0.044,0.005,0.008,0.001,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0.001,0
4981,"Intregalde","AB",0.985,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103,"Jidvei","AB",0.834,0.002,0.015,0.026,0.105,0,0,0,0,0.006,0,0,0.007,0,0.004,0.003,0,0,0,0,0
5167,"Livezile","AB",0.981,0,0.003,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5210,"Lopadea Noua","AB",0.448,0.004,0.523,0.003,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5309,"Lunca Muresului","AB",0.685,0.018,0.228,0.024,0.001,0.012,0.004,0,0.003,0.018,0,0,0,0,0,0,0,0,0.006,0,0
5336,"Lupsa","AB",0.992,0,0,0,0.002,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.003,0,0
5577,"Metes","AB",0.943,0,0,0.01,0.001,0.015,0.015,0,0,0.006,0.007,0,0,0,0,0,0,0,0,0.001,0
5700,"Mihalt","AB",0.948,0,0.001,0.002,0.042,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5755,"Miraslau","AB",0.643,0.004,0.261,0.022,0.035,0.017,0.002,0,0,0.008,0,0,0,0,0,0,0,0,0.008,0,0
5826,"Mogos","AB",0.991,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0
6048,"Noslac","AB",0.828,0.002,0.141,0.02,0,0.007,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
6119,"Ocolis","AB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6164,"Ohaba","AB",0.89,0,0.007,0.014,0.049,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6217,"Pianu","AB",0.981,0.003,0,0.008,0.002,0,0,0,0,0.003,0,0,0,0,0.003,0,0,0,0,0,0
6271,"Poiana Vadului","AB",0.9,0,0,0.054,0,0,0,0,0,0.041,0,0,0,0,0,0,0,0,0,0.005,0
6397,"Ponor","AB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6468,"Posaga","AB",0.922,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6547,"Radesti","AB",0.727,0,0.178,0,0.093,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6592,"Rametea","AB",0.14,0.04,0.052,0.005,0,0,0,0,0.728,0.028,0,0,0,0,0,0,0,0,0,0.007,0
6627,"Ramet","AB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6761,"Rosia Montana","AB",0.91,0.022,0.002,0.041,0.007,0.005,0,0,0.004,0.004,0.006,0,0,0,0,0,0,0,0,0,0
6930,"Rosia De Secas","AB",0.901,0.002,0.003,0.068,0,0.021,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
6976,"Salciua","AB",0.994,0,0,0,0.002,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0
7044,"Salistea","AB",0.867,0,0,0.099,0,0.003,0,0,0,0.003,0.026,0,0,0,0,0,0,0,0.001,0,0
7099,"Sasciori","AB",0.944,0.002,0,0.042,0,0,0,0,0,0.004,0,0.002,0,0,0.001,0,0,0,0.003,0.003,0
7197,"Scarisoara","AB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7348,"Sancel","AB",0.96,0,0.001,0.003,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7384,"Santimbru","AB",0.917,0.006,0.004,0.005,0.061,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7446,"Sohodol","AB",0.989,0,0,0.004,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7767,"Stremt","AB",0.985,0,0.003,0.003,0.002,0,0.005,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
7810,"Sibot","AB",0.942,0,0,0.012,0.012,0.006,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0.009,0
7865,"Sona","AB",0.702,0.001,0.144,0.005,0.05,0,0,0,0.086,0.006,0.001,0,0.001,0,0,0.002,0,0,0.002,0,0
7945,"Spring","AB",0.951,0.002,0,0.005,0,0,0,0,0,0.001,0.036,0,0.002,0,0,0.002,0,0,0,0,0
8014,"Sugag","AB",0.989,0.004,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8096,"Oras Teius","AB",0.804,0.011,0.033,0.003,0.124,0.008,0.003,0,0,0.008,0.002,0,0,0,0,0.001,0,0,0.001,0.002,0.001
8158,"Unirea","AB",0.821,0.019,0.087,0.037,0.018,0.002,0.004,0.002,0.001,0.008,0,0,0,0,0,0,0,0,0.001,0,0.001
8229,"Vadu Motilor","AB",0.966,0,0,0,0,0.01,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0
8354,"Valea Lunga","AB",0.804,0.013,0.015,0.025,0.133,0.002,0,0.001,0,0.001,0,0,0.004,0.001,0.001,0,0,0,0,0,0
8425,"Vidra","AB",0.909,0.002,0,0.06,0.009,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0
8826,"Vintu De Jos","AB",0.946,0.012,0.004,0.019,0.008,0.002,0.004,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0.001,0
9019,"Cut","AB",0.991,0,0,0.004,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0
9026,"Bucerdea Granoasa","AB",0.788,0.002,0.182,0.005,0.004,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9262,"Municipiul Arad","AR",0.747,0.102,0.027,0.047,0.009,0.043,0.006,0.001,0,0.003,0.001,0,0.002,0.002,0.001,0.001,0.001,0,0.003,0.002,0.002
9280,"Fantanele","AR",0.725,0.085,0.052,0.082,0,0.044,0.001,0,0,0,0.001,0.001,0.001,0,0.001,0.003,0,0,0.003,0,0
9333,"Livada","AR",0.672,0.052,0.058,0.198,0.002,0.013,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0.002,0
9360,"Sofronea","AR",0.554,0.324,0.013,0.01,0.002,0.061,0.035,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0
9397,"Vladimirescu","AR",0.837,0.04,0.005,0.065,0.007,0.025,0.005,0.001,0,0.004,0.003,0,0,0.001,0,0,0,0,0.004,0.003,0.001
9459,"Oras Chisineu-Cris","AR",0.698,0.081,0.147,0.031,0.003,0.03,0.006,0,0,0.002,0,0,0.001,0,0,0,0,0,0.001,0,0.001
9495,"Oras Curtici","AR",0.794,0.039,0.002,0.057,0.001,0.079,0.021,0,0,0.002,0,0,0,0,0,0,0,0,0,0.002,0.001
9538,"Oras Ineu","AR",0.819,0.072,0.008,0.042,0.003,0.025,0.013,0,0,0.003,0,0,0.003,0.001,0.001,0.001,0.001,0,0.006,0,0.001
9574,"Oras Lipova","AR",0.766,0.067,0.005,0.114,0.01,0.023,0.004,0,0,0.004,0.001,0,0.001,0.001,0,0,0,0,0.003,0.002,0.001
9627,"Oras Nadlac","AR",0.446,0.133,0.006,0.045,0.02,0.009,0,0,0,0.001,0,0,0.335,0.001,0,0.001,0,0,0.001,0.002,0.001
9654,"Oras Pancota","AR",0.627,0.083,0.017,0.205,0.001,0.032,0.02,0,0,0.002,0.002,0,0,0.002,0.001,0,0.001,0,0.007,0.001,0
9690,"Oras Sebis","AR",0.727,0.017,0.011,0.144,0.002,0.091,0.005,0,0,0.001,0,0,0,0.001,0,0,0.001,0,0,0,0.001
9743,"Almas","AR",0.719,0,0,0.184,0.004,0.092,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9798,"Apateu","AR",0.914,0.001,0,0.007,0,0.021,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9832,"Archis","AR",0.708,0,0,0.042,0,0.153,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9887,"Bata","AR",0.859,0.059,0,0.076,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9930,"Beliu","AR",0.725,0.021,0.001,0.042,0.085,0.067,0.055,0,0,0.003,0,0,0,0,0,0,0,0,0,0.001,0
10006,"Birchis","AR",0.881,0.004,0,0.083,0,0.029,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10051,"Barsa","AR",0.858,0.005,0.002,0.071,0,0.046,0.014,0,0,0.002,0,0,0,0,0,0,0,0,0.003,0,0
10104,"Barzava","AR",0.826,0.003,0.001,0.089,0.053,0.017,0.002,0,0,0.005,0,0,0,0.005,0,0,0,0,0,0,0
10195,"Bocsig","AR",0.78,0.018,0.003,0.043,0.111,0.024,0.004,0,0,0.002,0,0.001,0,0,0,0,0,0,0.013,0.001,0
10239,"Brazii","AR",0.533,0.005,0,0.413,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10293,"Buteni","AR",0.828,0.006,0.002,0.085,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10346,"Carand","AR",0.587,0.004,0,0.181,0,0.216,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0
10373,"Cermei","AR",0.815,0.054,0.011,0.031,0,0.038,0.05,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
10417,"Chisindia","AR",0.882,0,0,0.067,0,0.049,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10453,"Conop","AR",0.842,0.003,0.001,0.138,0.001,0.012,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
10514,"Covasint","AR",0.71,0.009,0.002,0.186,0,0.04,0.052,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0
10532,"Craiva","AR",0.811,0.002,0,0.079,0,0.065,0.026,0,0,0.013,0,0,0,0,0,0,0,0,0,0.003,0
10649,"Dezna","AR",0.867,0.003,0,0.046,0,0.081,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10701,"Dieci","AR",0.828,0,0,0.066,0,0.098,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10765,"Ususau","AR",0.713,0.003,0,0.277,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002
10827,"Felnac","AR",0.849,0.007,0.001,0.073,0.003,0.012,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0
10872,"Ghioroc","AR",0.666,0.154,0.014,0.05,0.002,0.023,0.078,0,0,0.002,0.001,0,0,0,0,0,0,0,0.001,0.008,0
10916,"Graniceri","AR",0.918,0.017,0.002,0.02,0.006,0.024,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10943,"Gurahont","AR",0.772,0.005,0.001,0.149,0,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11058,"Halmagiu","AR",0.967,0.003,0,0.017,0,0.012,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11174,"Halmagel","AR",0.993,0,0,0.003,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11236,"Hasmas","AR",0.764,0,0,0.045,0,0.107,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11307,"Ignesti","AR",0.757,0,0,0.071,0,0.024,0.14,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0
11352,"Iratosu","AR",0.463,0.471,0.03,0.009,0.002,0.016,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0
11398,"Macea","AR",0.801,0.054,0.003,0.037,0.001,0.03,0.068,0,0,0.002,0.001,0,0.001,0,0,0,0,0,0.001,0.001,0
11423,"Misca","AR",0.419,0.18,0.166,0.157,0,0.048,0.013,0,0.003,0.001,0.002,0,0.008,0,0,0,0,0,0.002,0.001,0
11478,"Moneasa","AR",0.892,0.009,0.005,0.034,0.004,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11502,"Olari","AR",0.598,0.082,0.011,0.055,0,0.004,0,0,0,0,0,0,0.251,0,0,0,0,0,0,0,0
11539,"Paulis","AR",0.688,0.038,0.006,0.201,0.002,0.053,0.005,0,0,0.002,0,0,0,0,0,0.002,0,0,0.004,0.001,0
11584,"Oras Pecica","AR",0.618,0.289,0.017,0.047,0.004,0.015,0.001,0,0,0.001,0,0,0.001,0.003,0.001,0,0,0,0.001,0.002,0.001
11637,"Peregu Mare","AR",0.227,0.103,0.456,0.008,0.195,0.002,0,0,0,0,0,0,0.008,0,0.002,0,0,0,0,0,0
11664,"Petris","AR",0.784,0.003,0.003,0.181,0,0.019,0.005,0.003,0,0,0,0,0,0,0,0,0,0,0.002,0,0
11735,"Pilu","AR",0.848,0.057,0.004,0.059,0,0.013,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
11762,"Plescuta","AR",0.797,0,0,0.089,0,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0
11842,"Savarsin","AR",0.814,0.021,0.002,0.125,0,0.021,0.013,0.002,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0
11940,"Secusigiu","AR",0.802,0.073,0.006,0.065,0.004,0.004,0.012,0,0,0.002,0,0,0,0.032,0,0,0,0,0,0.001,0
11995,"Seleus","AR",0.698,0.004,0,0.189,0,0.104,0.002,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0
12037,"Semlac","AR",0.729,0.048,0.012,0.069,0.083,0.01,0,0,0,0.001,0,0,0.013,0,0.008,0.007,0,0,0.02,0,0
12055,"Sintea Mare","AR",0.347,0.244,0.21,0.018,0.126,0.013,0.018,0,0.001,0.001,0.009,0,0.004,0.001,0.002,0.001,0,0,0.004,0,0
12091,"Oras Santana","AR",0.818,0.054,0.002,0.097,0.002,0.013,0.002,0,0,0.01,0.001,0,0,0,0,0,0,0,0.001,0,0
12126,"Socodor","AR",0.881,0.047,0.003,0.012,0.005,0.006,0.045,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0
12144,"Sagu","AR",0.829,0.049,0.007,0.044,0.015,0.051,0.002,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0
12206,"Seitin","AR",0.824,0.014,0.002,0.112,0.044,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12224,"Sepreus","AR",0.791,0.003,0,0.083,0,0.012,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12242,"Sicula","AR",0.87,0.005,0,0.074,0.003,0.027,0.02,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
12288,"Silindia","AR",0.797,0.148,0,0.02,0,0.01,0.022,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0
12340,"Simand","AR",0.767,0.051,0.003,0.117,0.028,0.005,0.027,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0
12368,"Siria","AR",0.774,0.051,0.003,0.124,0.003,0.027,0.016,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001
12402,"Sistarovat","AR",0.908,0,0,0.046,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12457,"Taut","AR",0.866,0.009,0,0.054,0.033,0.034,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12509,"Tarnova","AR",0.66,0.005,0,0.262,0.001,0.05,0.021,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0
12572,"Varadia De Mures","AR",0.897,0.002,0.002,0.076,0.014,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12643,"Vinga","AR",0.587,0.305,0.02,0.061,0.002,0.018,0.001,0,0.001,0.001,0.001,0.001,0,0.002,0,0,0,0,0.002,0,0
12689,"Varfurile","AR",0.955,0.002,0,0.009,0,0.027,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0
12778,"Zabrani","AR",0.835,0.034,0.003,0.09,0.025,0.008,0.002,0,0,0.002,0,0,0,0.001,0,0,0,0,0,0.001,0
12812,"Zarand","AR",0.903,0.002,0.001,0.076,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12849,"Zerind","AR",0.086,0.051,0.814,0.008,0.005,0.02,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
12876,"Zimandu Nou","AR",0.53,0.352,0.024,0.022,0.002,0.036,0.002,0,0,0.02,0,0,0.001,0,0.001,0.001,0,0,0.001,0.005,0.001
12912,"Dorobanti","AR",0.085,0.897,0.014,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0
12920,"Frumuseni","AR",0.911,0.04,0.008,0.019,0.004,0.007,0.007,0,0,0.003,0,0,0,0,0.001,0,0,0,0,0,0
12938,"Zadareni","AR",0.788,0.025,0.006,0.138,0.021,0.011,0.003,0,0,0,0,0,0.002,0,0,0,0,0,0.004,0,0.002
13169,"Municipiul Pitesti","AG",0.984,0.003,0,0.002,0,0.001,0.002,0.001,0,0,0.002,0,0,0,0.002,0,0,0,0,0.001,0.001
13187,"Bascov","AG",0.995,0.001,0,0.001,0,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0,0
13276,"Bradu","AG",0.994,0.001,0,0.001,0,0,0.001,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0
13301,"Oras Mioveni","AG",0.985,0.001,0,0.005,0,0,0.001,0.001,0,0.001,0.003,0,0,0,0.001,0,0,0,0,0,0.001
13365,"Maracineni","AG",0.935,0.002,0,0.047,0,0,0.001,0.002,0,0.001,0.004,0,0,0,0.006,0,0,0,0.001,0,0.001
13392,"Oras Stefanesti","AG",0.979,0.001,0,0.01,0,0.001,0.002,0,0,0,0.003,0,0,0,0.003,0,0,0,0,0,0
13490,"Municipiul Campulung","AG",0.963,0.005,0,0.008,0,0.002,0.003,0,0,0.002,0.011,0.001,0,0,0.003,0,0,0,0,0.001,0.001
13524,"Valea Mare Pravat","AG",0.971,0,0,0.012,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0
13622,"Municipiul Curtea De Arges","AG",0.987,0.001,0.001,0.001,0,0,0.001,0,0,0,0.003,0,0,0,0.003,0,0,0,0.001,0,0.001
13668,"Oras Costesti","AG",0.986,0.001,0,0.006,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0
13757,"Oras Topoloveni","AG",0.996,0.001,0,0.001,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
13819,"Albestii De Arges","AG",0.992,0,0,0,0,0,0,0,0,0,0.007,0,0.001,0,0,0,0,0,0,0,0
13891,"Albestii De Muscel","AG",0.819,0,0,0.014,0,0,0.003,0,0,0,0.074,0,0,0,0.089,0,0,0,0,0,0
13935,"Albota","AG",0.999,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
13999,"Aninoasa","AG",0.978,0.002,0,0.009,0,0,0.004,0,0,0,0.001,0,0,0,0.006,0,0,0,0,0,0
14049,"Arefu","AG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14085,"Babana","AG",0.989,0,0,0.002,0,0,0,0,0,0,0.008,0,0,0,0.001,0,0,0,0,0,0
14165,"Baiculesti","AG",0.989,0.001,0,0,0,0,0.003,0,0,0.003,0.002,0,0,0,0.003,0,0,0,0,0,0
14272,"Balilesti","AG",0.973,0,0,0.022,0,0,0.002,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
14352,"Beleti-Negresti","AG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14405,"Berevoesti","AG",0.98,0,0.001,0.007,0,0,0,0,0,0.001,0.005,0,0,0,0.005,0,0,0,0,0.002,0
14450,"Barla","AG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14584,"Bogati","AG",0.999,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
14673,"Boteni","AG",0.99,0,0,0.005,0,0,0.002,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
14726,"Botesti","AG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14753,"Bradulet","AG",0.997,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0
14851,"Budeasa","AG",0.996,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0
14922,"Bughea De Jos","AG",0.963,0.002,0,0.005,0,0,0,0,0,0,0.023,0,0,0,0.007,0,0,0,0,0,0
14940,"Buzoesti","AG",0.999,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15064,"Caldararu","AG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15108,"Calinesti","AG",0.985,0,0,0.009,0,0,0.003,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001
15233,"Cateasca","AG",0.963,0.001,0,0.033,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001
15313,"Cepari","AG",0.998,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15402,"Cetateni","AG",0.921,0,0,0.03,0,0,0.009,0,0,0,0.038,0.002,0,0,0,0,0,0,0,0,0
15448,"Cicanesti","AG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15493,"Ciofrangeni","AG",0.988,0.001,0,0.004,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15554,"Ciomagesti","AG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15652,"Cocu","AG",0.997,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15741,"Corbeni","AG",0.977,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0
15830,"Corbi","AG",0.996,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0
15901,"Cosesti","AG",0.997,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.001,0,0,0,0,0,0
15983,"Cotmeana","AG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16132,"Cuca","AG",0.999,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
16285,"Davidesti","AG",0.976,0,0,0.003,0,0,0,0,0,0,0.018,0,0,0,0,0.003,0,0,0,0,0
16329,"Dambovicioara","AG",0.984,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0
16365,"Darmanesti","AG",0.987,0.001,0,0.002,0,0,0.002,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0
