,C1,C2
0,0.010367135573358674,0.16825635247539059
1,-0.09731391312442524,-5.28605201990132e-05
2,-0.03567078847863189,-5.289237250130333e-05
3,0.47124036102956773,-5.315430418010388e-05
4,0.3415217856879837,-5.308727585725356e-05
5,0.015885279406941285,-5.2919012608618454e-05
6,0.4822045531602426,-5.315996960932369e-05
7,0.18673175767425665,-5.300729258606725e-05
8,0.6231309693465165,-5.323278925980474e-05
9,0.024291160040458656,-5.2923356104369836e-05
10,-0.11819460791551112,-5.28497307038679e-05
11,-0.1386367350213693,-5.2839167825776774e-05
12,-0.128038015961717,-5.284464440739493e-05
13,-0.13198512512875993,-5.2842604852880557e-05
14,-0.07068310868258705,-5.2874280896948384e-05
15,-0.1198757840422146,-5.284886200472093e-05
16,-0.052092711803242646,-5.2883886947279214e-05
17,-0.14689642642647768,-5.283489986907783e-05
18,-0.1327160712708049,-5.2842227157595644e-05
19,-0.1460436559274252,-5.2835340513568193e-05
20,-0.13032831387345795,-5.284346096215379e-05
21,-0.1637325525649139,-5.2826200287705006e-05
22,-0.09263585781533802,-5.286293744891301e-05
23,-0.14080520857610276,-5.283804732974026e-05
24,-0.12418836628028003,-5.284663360253677e-05
25,-0.11853571611513214,-5.284955444607183e-05
26,-0.11765858074467812,-5.2850007680394715e-05
27,-0.0932449796003755,-5.286262270286048e-05
28,-0.14565381798500118,-5.2835541951057455e-05
29,-0.13045013823046545,-5.2843398012935295e-05
30,-0.06259397137728898,-5.28784607250399e-05
31,-0.11836516201532161,-5.28496425749562e-05
32,-0.12867150261815596,-5.284431707146825e-05
33,-0.14082957344750427,-5.2838034739948966e-05
34,-0.11877936482914714,-5.28494285476483e-05
35,-0.0026807526010014207,-5.29094191484229e-05
36,-0.15471755014635907,-5.2830858529589516e-05
37,-0.040641222244537825,-5.288980417338752e-05
38,-0.13902657296379328,-5.2838966388287506e-05
39,-0.10381933378862636,-5.285715871108872e-05
40,-0.10786390244127528,-5.2855068797202244e-05
41,-0.09266022268673951,-5.286292485908008e-05
42,-0.10096864383465089,-5.285863172270264e-05
43,-0.09010191118958205,-5.28642467925638e-05
44,-0.11829206740111714,-5.284968034449579e-05
45,-0.15021004893708162,-5.283318765047668e-05
46,-0.12572335317857453,-5.28458404424547e-05
47,-0.15561905038821452,-5.283039270535169e-05
48,-0.15354803631908706,-5.2831462842001795e-05
49,-0.08201277388428418,-5.286842662036409e-05
50,-0.14294931725943474,-5.283693942360607e-05
51,-0.15596015858783555,-5.283021644758297e-05
52,-0.1440457364725022,-5.2836372880678707e-05
53,-0.13766214016530934,-5.2839671419526436e-05
54,-0.1443868446721232,-5.2836196622909984e-05
55,-0.15678856421548654,-5.282978839293941e-05
56,-0.10004277872139392,-5.285911013673218e-05
57,-0.13098616540129843,-5.284312103640848e-05
58,-0.1322531387141764,-5.284246636456899e-05
59,-0.11263941723596921,-5.2852601188003515e-05
60,-0.01359621498887324,-5.2903778898854104e-05
61,-0.12901261081777696,-5.284414081368606e-05
62,-0.10413607711684583,-5.285699504312517e-05
63,-0.09643677775397197,-5.286097343345049e-05
64,-0.1262106506066045,-5.28455886456072e-05
65,-0.10959380831078175,-5.28541749183482e-05
66,-0.10995928138180425,-5.285398607071962e-05
67,-0.061984849592251486,-5.287877547111304e-05
68,-0.10686494271381379,-5.285558498074362e-05
69,-0.09901945412253091,-5.285963891010608e-05
70,0.013205143552776325,-5.291762772591434e-05
71,-0.046440061638094735,-5.2886807790814485e-05
72,-0.13649262633803733,-5.2840275731965644e-05
73,-0.0935373580571935,-5.286247162472986e-05
74,-0.12959736773141295,-5.284383865745258e-05
75,-0.036596653591888885,-5.289189408728073e-05
76,-0.13907530270659632,-5.2838941208621645e-05
77,-0.11137244392309123,-5.285325585984258e-05
78,4.195094211420566,-5.5078497978522354e-05
79,-0.07955192187273273,-5.286969819450305e-05
80,-0.08535076126628961,-5.286670181190226e-05
81,-0.10296656328957386,-5.2857599355606004e-05
82,0.14631043601916877,-5.298640603694078e-05
83,0.03557209549935299,-5.2929185201562976e-05
84,0.0423698946203714,-5.293269776767718e-05
85,0.06344550838266858,-5.2943587981667645e-05
86,0.10766774997639039,-5.296643854629175e-05
87,0.02497337643970065,-5.2923708619965225e-05
88,0.027994620493486628,-5.29252697604428e-05
89,-0.012962728332434253,-5.290410623476859e-05
90,-0.10603653708616281,-5.285601303540106e-05
91,-0.08639845073655412,-5.2866160448681554e-05
92,-0.13235059819978243,-5.2842416005238104e-05
93,-0.14419192570091122,-5.283629734162728e-05
94,-0.09629058852556295,-5.2861048972501924e-05
95,-0.12396908243766652,-5.284674691111391e-05
96,-0.12530915036474902,-5.2846054469776476e-05
97,-0.10803445654108579,-5.2854980668290544e-05
98,-0.08725122123560661,-5.2865719804178145e-05
99,-0.14012299217686075,-5.283839984536014e-05
100,-0.0869832076501901,-5.2865858292448076e-05
101,-0.14173107368935975,-5.283756891576582e-05
102,-0.10323457687499035,-5.285746086730832e-05
103,-0.13790578887932434,-5.283954552106169e-05
104,-0.11444241771968018,-5.28516695396511e-05
105,-0.10369750943161886,-5.2857221660307214e-05
106,-0.09940929206495491,-5.2859437472644986e-05
107,-0.14061028960489075,-5.2838148048512236e-05
108,-0.1336906661268649,-5.284172356384598e-05
109,-0.13539620712496986,-5.2840842274866087e-05
110,-0.093415533700186,-5.286253457394878e-05
111,-0.07048818971137485,-5.287438161599791e-05
112,-0.10798572679828278,-5.285500584798333e-05
113,-0.07497132604925079,-5.28720650849298e-05
114,-0.10260109021855136,-5.2857788203235e-05
115,-0.14012299217686075,-5.283839984536014e-05
116,-0.13907530270659632,-5.2838941208621645e-05
117,-0.1524272522346181,-5.2832041974775135e-05
118,-0.10769334834146478,-5.28551569260866e-05
119,0.004604343948046988,-5.291318351138896e-05
120,-0.07772455651762025,-5.2870642432701445e-05
121,-0.14757864282571967,-5.283454735348653e-05
122,-0.12111839248369108,-5.284821992272784e-05
123,-0.06425078263259096,-5.2877604615739326e-05
124,0.17413511915968133,-5.3000783637380213e-05
125,-0.12596700189258953,-5.2845714544031155e-05
126,-0.13632207223822687,-5.284036386086388e-05
127,-0.11680581024562564,-5.2850448324898124e-05
128,-0.14170670881795827,-5.2837581505612626e-05
129,-0.09872707566571294,-5.285978998822324e-05
130,-0.01854228388337767,-5.2901223160776276e-05
131,-0.09721645363881996,-5.286057055848626e-05
132,-0.06678472925834693,-5.28762952721022e-05
133,-0.07633575884773477,-5.287136005373209e-05
134,0.21097480471874877,-5.301981947964865e-05
135,-0.1145155123338847,-5.2851631770125377e-05
136,-0.06866082435626239,-5.2875325854196725e-05
137,-0.094682507013064,-5.286187990213705e-05
138,-0.09916564335093991,-5.285956337106853e-05
139,-0.06578576953088544,-5.2876811455664395e-05
140,-0.14867506203878716,-5.283398081055917e-05
141,-0.061984849592251486,-5.287877547111304e-05
142,0.051311802424721754,-5.293731823997436e-05
143,-0.16222193053802095,-5.2826980857967614e-05
144,-0.12942681363160244,-5.284392678632307e-05
145,-0.018859027211597153,-5.290105949280946e-05
146,-0.12893951620357244,-5.2844178583197896e-05
147,-0.002705117472402899,-5.290940655855902e-05
148,-0.10467210428767884,-5.2856718066598766e-05
149,-0.057745361968390564,-5.288096610377149e-05
150,-0.10311275251798285,-5.28575238165407e-05
151,-0.13483581508273534,-5.2841131841252757e-05
152,-0.050606454647751174,-5.288465492769564e-05
153,-0.13079124643008644,-5.2843221755152695e-05
154,-0.10262545508995287,-5.285777561338819e-05
155,-0.10084681947764339,-5.285869467190768e-05
156,4.137788033884238,-5.504888666880713e-05
157,0.08639721724288121,-5.295544761357053e-05
158,0.017956293476068752,-5.2920082745252946e-05
159,0.6720312662493262,-5.325805707413708e-05
160,-0.0420787496572263,-5.2889061372657154e-05
161,0.2012775859009519,-5.3014808722254445e-05
162,0.7304094981273193,-5.328822233754932e-05
163,-0.06576140465948394,-5.287682404548997e-05
164,0.6447426102796466,-5.324395645034769e-05
165,0.08929663693965965,-5.2956945804863775e-05
166,0.0599856966436556,-5.294180022402874e-05
167,-0.022416298436216116,-5.28992213757811e-05
168,-0.1316440169291389,-5.28427811106354e-05
169,-0.0742647447786073,-5.287243019036832e-05
170,-0.08837200532007558,-5.286514067140397e-05
171,-0.10995928138180425,-5.285398607071962e-05
172,-0.09936056232215192,-5.2859462652310434e-05
173,-0.02112496025193663,-5.2899888637442687e-05
174,-0.07075620329679136,-5.2874243127714103e-05
175,-0.12423709602308303,-5.284660842284357e-05
176,-0.08449799076723714,-5.286714245640609e-05
177,-0.05720933479755757,-5.2881243080298095e-05
178,-0.060376768079752514,-5.2879606400741436e-05
179,-0.11081205188085673,-5.285354542621579e-05
180,-0.14236456034579875,-5.283724157983955e-05
181,-0.125747718049976,-5.28458278526083e-05
182,-0.06941613536970888,-5.287493556907888e-05
183,-0.09487742598427598,-5.286177918337854e-05
184,-0.03221097673961896,-5.289416025898367e-05
185,-0.11232267390774972,-5.285276485598053e-05
186,0.10189327545423495,-5.296345475359286e-05
187,-0.07928390828731623,-5.286983668274564e-05
188,-0.11551447206134617,-5.2851115586584e-05
189,-0.09670479133938845,-5.286083494516627e-05
190,-0.11873063508634411,-5.2849453727313745e-05
191,-0.11276124159297671,-5.2852538238798476e-05
192,-0.14204781701757926,-5.283740524778922e-05
193,-0.1134921877350217,-5.285216054349969e-05
194,-0.02672888067428154,-5.289699297360724e-05
195,-0.07022017612595838,-5.2874520104268256e-05
196,-0.041274708900976814,-5.288947683747472e-05
197,-0.12345742013823505,-5.284701129782168e-05
198,-0.11877936482914714,-5.28494285476483e-05
199,-0.0942195744564355,-5.2862119109151615e-05
200,-0.1474568184687122,-5.2834610302718914e-05
201,-0.08345030129697267,-5.286768381964066e-05
202,-0.1265517588062255,-5.28454123877838e-05
203,-0.09309879037196651,-5.286269824192579e-05
204,-0.1059634424719583,-5.285605080491289e-05
205,-0.12236100092516757,-5.284757784074904e-05
206,-0.09680225082499445,-5.286078458580762e-05
207,-0.11429622849127118,-5.2851745078702524e-05
208,-0.1141987690056652,-5.285179543807505e-05
209,-0.11641597230320164,-5.2850649762373514e-05
210,-0.03094400342674098,-5.2894814930812636e-05
211,-0.056941321212141065,-5.2881381568575175e-05
212,-0.10416044198824735,-5.285698245330653e-05
213,-0.05582053712767209,-5.288196070134241e-05
214,-0.05686822659793657,-5.288141933809416e-05
215,-0.05733115915456506,-5.288118013108633e-05
216,-0.020735122309512636,-5.290009007493164e-05
217,-0.13098616540129843,-5.284312103640848e-05
218,-0.1122983090363482,-5.2852777445799166e-05
219,-0.12474875832251452,-5.284634403614968e-05
220,-0.030895273683937973,-5.289484011048492e-05
221,-0.11780476997308714,-5.284993214135716e-05
222,-0.08023413827197472,-5.2869345678897045e-05
223,-0.1201194327562296,-5.2848736106296976e-05
224,-0.13476272046853086,-5.284116961079235e-05
225,-0.10091991409184789,-5.2858656902381965e-05
226,-0.03184550366859646,-5.289434910662623e-05
227,-0.14565381798500118,-5.2835541951057455e-05
228,-0.08688574816458412,-5.28659086518206e-05
229,-0.01125718733432928,-5.290498752376226e-05
230,-0.12092347351247908,-5.284832064147247e-05
231,-0.08393759872500266,-5.286743202279317e-05
232,-0.09534035854090447,-5.2861539976377855e-05
233,-0.10252799560434686,-5.285782597276071e-05
234,-0.10898468652574426,-5.2854489664414606e-05
235,-0.022635582278829596,-5.289910806718303e-05
236,-0.11573375590395966,-5.285100227799298e-05
237,-0.13037704361626096,-5.2843435782474886e-05
238,-0.04634260215248874,-5.2886858150179865e-05
239,-0.05370079331574161,-5.288305601765775e-05
240,-0.04758521059396521,-5.288621606820086e-05
241,-0.05840321349623105,-5.288062617800535e-05
242,-0.09529162879810149,-5.286156515607064e-05
243,-0.09526726392669999,-5.2861577745917447e-05
244,-0.11237140365055272,-5.2852739676287324e-05
245,-0.11027602471002375,-5.285382240275649e-05
246,-0.13693119402326437,-5.284004911481135e-05
247,-0.08483909896685814,-5.286696619861002e-05
248,-0.04502689909680775,-5.288753800168459e-05
249,-0.12223917656816007,-5.284764078995408e-05
250,-0.10177268459090037,-5.285821625787814e-05
251,-0.09641241288257045,-5.286098602328301e-05
252,-0.10252799560434686,-5.285782597276071e-05
253,-0.0819884090128827,-5.2868439210224365e-05
254,-0.09146634398806604,-5.2863541761352216e-05
255,-0.14251074957420776,-5.283716604078812e-05
256,-0.10148030613408239,-5.285836733600876e-05
257,-0.09685098056779747,-5.286075940612871e-05
258,4.638705425027669,-5.530772124630541e-05
259,-0.035695153350033405,-5.289235991147061e-05
260,-0.00180361723054742,-5.290987238274828e-05
261,-0.045611656010443744,-5.288723584546478e-05
262,0.07031640211789146,-5.29471383173286e-05
263,1.1125481411884395,-5.348568143140791e-05
264,-0.041201614286772326,-5.288951460701432e-05
265,-0.04190819555741581,-5.2889149501569064e-05
266,0.33772086574934984,-5.308531184169431e-05
