,C1,C2
0,0.017380907779643868,1.5802184835612674
1,-0.1631505769095594,-0.0004964518120138654
2,-0.05980347035954206,-0.0004967509602834145
3,0.7900528742148102,-0.0004992109522787437
4,0.572574615213904,-0.0004985814402679949
5,0.02663229148229061,-0.0004970011570179492
6,0.8084347706367498,-0.0004992641604689723
7,0.3130630863948288,-0.0004978302588623337
8,1.04470341264675,-0.0004999480630742776
9,0.04072507873911116,-0.0004970419499638024
10,-0.19815787742867597,-0.0004963504799715345
11,-0.23242990209091494,-0.0004962512762568483
12,-0.21466073554970644,-0.0004963027108407472
13,-0.2212782182616048,-0.0004962835558922713
14,-0.11850299293360332,-0.0004965810487959158
15,-0.20097643488004008,-0.0004963423213823679
16,-0.08733546633373641,-0.0004966712662384852
17,-0.24627759739544294,-0.0004962111927535598
18,-0.2225036780230674,-0.0004962800086795934
19,-0.24484789434040316,-0.0004962153311683438
20,-0.21850050946895608,-0.0004962915962410226
21,-0.27450402056779943,-0.0004961294886214212
22,-0.1553076344361984,-0.0004964745141750192
23,-0.23606543271658745,-0.0004962407528592368
24,-0.20820664747266973,-0.0004963213928275577
25,-0.1987297586506919,-0.00049634882460562
26,-0.19725920693693666,-0.0004963530812608584
27,-0.15632885090408397,-0.0004964715581644508
28,-0.2441943158009564,-0.000496217223015121
29,-0.21870475276253315,-0.0004962910050388981
30,-0.10494123824008322,-0.0004966203046162748
31,-0.19844381803968392,-0.000496349652288598
32,-0.21572280067630736,-0.0004962996365897648
33,-0.23610628137530293,-0.0004962406346187984
34,-0.1991382452378461,-0.000496347642201401
35,-0.004494386458860853,-0.0004969110578158173
36,-0.2593900168430934,-0.000496173237577835
37,-0.06813659673748812,-0.0004967268392371749
38,-0.23308348063036166,-0.0004962493844100918
39,-0.17405716878657707,-0.0004964202418209705
40,-0.1808380461333371,-0.0004964006139107853
41,-0.15534848309491384,-0.0004964743959345947
42,-0.1692778757168727,-0.0004964340759504342
43,-0.15105937392979454,-0.0004964868111789928
44,-0.19832127206353767,-0.0004963500070098552
45,-0.25183301498074034,-0.0004961951120560432
46,-0.21078011297174135,-0.0004963139436809031
47,-0.260901417215564,-0.0004961688626821814
48,-0.2574292812247531,-0.0004961789131181508
49,-0.1374976192362745,-0.0004965260669993356
50,-0.2396601146835446,-0.0004962303477020264
51,-0.2614732984375799,-0.0004961672073162808
52,-0.24149830432573857,-0.0004962250268830097
53,-0.23079595574229808,-0.0004962560058737636
54,-0.2420701855477545,-0.0004962233715170858
55,-0.26286215283390424,-0.0004961631871419237
56,-0.1677256266856867,-0.0004964385690864776
57,-0.21960342325427246,-0.0004962884037495764
58,-0.2217275535074744,-0.0004962822552476116
59,-0.18884438324155978,-0.0004963774387879452
60,-0.022794585563369843,-0.0004968580861064309
61,-0.2162946818983233,-0.0004962979812238595
62,-0.17458820134987754,-0.0004964187046954805
63,-0.16168002519580424,-0.0004964560686690691
64,-0.21159708614604977,-0.0004963115788724488
65,-0.18373830090213203,-0.0004963922188407837
66,-0.18435103078286338,-0.0004963904452344401
67,-0.10392002177219768,-0.0004966232606268432
68,-0.17916325112600479,-0.0004964054617681321
69,-0.16600998301963893,-0.0004964435351842743
70,0.022138939023594203,-0.0004969881505714469
71,-0.07785857751175854,-0.0004966986980165544
72,-0.2288352201239578,-0.0004962616814140516
73,-0.15681903480866902,-0.0004964701392793864
74,-0.2172750497074934,-0.0004962951434537097
75,-0.0613557193907281,-0.0004967464671473498
76,-0.2331651779477925,-0.0004962491479292337
77,-0.18672025298835784,-0.0004963835872899286
78,7.033239326303744,-0.0005172824637713227
79,-0.1333719047060169,-0.0004965380092820231
80,-0.14309388548028726,-0.0004965098680614222
81,-0.17262746573153728,-0.0004964243802357684
82,0.24529516158594392,-0.0004976340980009541
83,0.05963800772435149,-0.000497096695279535
84,0.07103478350595421,-0.0004971296843574995
85,0.10636887329479415,-0.0004972319623231842
86,0.18050918886328485,-0.0004974465686904781
87,0.04186884118314298,-0.000497045260695643
88,0.04693407486385532,-0.0004970599225080773
89,-0.02173252043676888,-0.0004968611603574191
90,-0.17777439672968046,-0.0004964094819425008
91,-0.14485037780505042,-0.0004965047837232427
92,-0.22189094814233612,-0.0004962817822859184
93,-0.2417433962780311,-0.0004962243174404791
94,-0.16143493324351169,-0.0004964567781116158
95,-0.20783900954423093,-0.0004963224569913754
96,-0.21008568577357914,-0.0004963159537680955
97,-0.18112398674434504,-0.000496399786227821
98,-0.14628008086009017,-0.000496500645308438
99,-0.23492167027255564,-0.0004962440635910935
100,-0.14583074561422055,-0.0004965019459530988
101,-0.2376176817477735,-0.0004962362597231632
102,-0.1730768009774069,-0.0004964230795911249
103,-0.23120444232945228,-0.0004962548234695215
104,-0.19186718398650102,-0.0004963686889966541
105,-0.17385292549299997,-0.0004964208330230812
106,-0.16666356155908568,-0.0004964416433374716
107,-0.23573864344686407,-0.00049624169878263
108,-0.22413762437168427,-0.000496275279062671
109,-0.2269970304817638,-0.0004962670022330846
110,-0.15661479151509192,-0.0004964707304814865
111,-0.11817620366387992,-0.0004965819947193057
112,-0.1810422894269142,-0.0004964000227086815
113,-0.12569235686751756,-0.0004965602384815162
114,-0.17201473585080596,-0.0004964261538421074
115,-0.23492167027255564,-0.0004962440635910935
116,-0.2331651779477925,-0.0004962491479292337
117,-0.2555502429238437,-0.0004961843521775874
118,-0.18055210552232914,-0.0004964014415937495
119,0.007719362497050314,-0.0004969464117022352
120,-0.13030825530236023,-0.0004965468773137353
121,-0.24742135983947477,-0.0004962078820216892
122,-0.20305971647452659,-0.0004963362911208206
123,-0.10771894703273194,-0.0004966122642675304
124,0.2919443298389557,-0.0004977691285637273
125,-0.21118859955889557,-0.0004963127612766772
126,-0.22854927951294987,-0.0004962625090970111
127,-0.1958295038818969,-0.0004963572196756563
128,-0.2375768330890581,-0.0004962363779635901
129,-0.1655197991150539,-0.0004964449540693284
130,-0.031086863282600487,-0.000496834083300607
131,-0.16298718227469774,-0.00049645228497554
132,-0.1119672075391358,-0.000496599967263566
133,-0.12797988175558117,-0.0004965536170178327
134,0.3537075018166736,-0.0004979479080829352
135,-0.19198972996264727,-0.0004963683342753761
136,-0.1151125542602233,-0.0004965908627510039
137,-0.15873892176829385,-0.0004964645819795068
138,-0.16625507497193148,-0.0004964428257417068
139,-0.11029241253180351,-0.000496604815120892
140,-0.24925954948166876,-0.0004962025612026839
141,-0.10392002177219768,-0.0004966232606268432
142,0.08602624125451404,-0.0004971730785926493
143,-0.2719714037274433,-0.0004961368195276652
144,-0.21698910909648542,-0.0004962959711366648
145,-0.03161789584590096,-0.0004968325461751199
146,-0.21617213592217702,-0.0004962983359451282
147,-0.00453523511757625,-0.0004969109395754093
148,-0.17548687184161682,-0.0004964161034061774
149,-0.09681235515571429,-0.0004966438344603986
150,-0.1728725576838298,-0.0004964236707932286
151,-0.22605751133130908,-0.0004962697217628169
152,-0.08484369815209568,-0.0004966784789042666
153,-0.21927663398454905,-0.0004962893496729975
154,-0.17205558450952138,-0.0004964260356016967
155,-0.1690736324232956,-0.0004964346671525588
156,6.937163281005072,-0.0005170043622962423
