tari,C1,C2
Bulgaria,-0.320292896308714,-1.0907231685564915
Czech Republic,1.241992798241556,0.191474059835524
Denmark,-0.020869493761072375,0.023530537615850788
Germany,1.0883467538524916,0.6273948879001358
Estonia,-0.209505587969827,-1.1342564957774337
Ireland,-1.0529830940908622,0.2089711133036146
Greece,-3.2110567527086338,1.7254695673424971
Spain,0.6739225128084072,1.8368443093501687
France,-1.2386503240144395,-0.5444126424820982
Croatia,-0.10542266126123045,-0.8735763580839729
Italy,-0.17783111952622338,-0.160157755173984
Cyprus,-0.41868155522419265,1.5392171418390832
Latvia,0.41047251032927495,-0.7389570332690644
Lithuania,1.1803747349745353,0.080025888948879
Luxembourg,-0.9050953964441388,-0.427166814804926
Hungary,1.557301625643806,0.32859233131328386
Malta,-0.19150802320811133,-0.5055928698847422
Netherlands,0.45625062104503544,-0.5864140710531783
Austria,1.279116004345246,1.1971291165511362
Poland,1.607429263361278,0.4804240819531655
Portugal,0.01871711666008917,0.4530071292496986
Romania,0.010644856799447577,-0.1893629972576161
Slovenia,-0.06202078411383543,-0.3452238903432793
Slovakia,0.6262849924640056,-0.6251068418764397
Finland,-0.1416271804156537,-0.8247454578903777
Sweden,-0.5392960018554772,-0.7043273829300526
United Kingdom,-1.5560129196227608,0.05794361418061761
