Continent,Librarie,CostLunarBasic,CostLunarStandard,CostLunarPremium,Internet,HDI,Venit,IndiceFericire
Europa,0.2018296585893107,0.20769751890970273,0.2314694426974174,0.2591743841473243,0.09841857414687376,0.07098188657911551,0.6787072944445297,0.11430707601000664
Asia,0.1408776975639082,0.2599642813191038,0.21163403144458523,0.23468527086678864,0.23696254452373575,0.14253350959701586,0.839845616969404,0.15463559544013442
AmericaN,0.11823569818112349,0.12069124689332342,0.12041725228516188,0.10495621592572252,0.2168587556836939,0.16181493757667062,0.8974816090196874,0.053044432485071936
AmericaS,0.02142822635665244,0.31298368355478523,0.2638502277621371,0.20624215638983745,0.12704297523547348,0.06668042985959363,0.5314464727204086,0.0733893804788546
Oceania,0.00347814452133078,0.08158924398306325,0.023522416250424713,0.023336857464902515,0.0,0.01048675311081741,0.10214690269443165,0.0029856725454745834
Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
