,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Librarie,0.04634603101555384,0.4209516702273301,0.9971351881739521,0.9983188145240157,0.9984789988466137,0.9987186578603724,0.998770760558536,0.9999935683378441,0.999999999999999
CostLunarBasic,0.6419214114501289,0.8314651594981227,0.8606986378673588,0.9105058436436594,0.9481902393764975,0.9482520278682164,0.9995706435573207,0.9995809813434408,1.0
CostLunarStandard,0.7587855703680609,0.9289050081798991,0.979157362360323,0.9799603140560414,0.9838362084956924,0.9874673713975076,0.9960122256250018,0.9960169739191257,1.0000000000000002
CostLunarPremium,0.7767700924329276,0.9117753816671607,0.9373890422894432,0.9465245192005054,0.9469945995053118,0.9488569936906005,0.9975553491136885,0.9975731985254233,1.0
Internet,0.6169920688127241,0.7904421949074247,0.8695094525680672,0.9023698340674162,0.9028446347450974,0.9969649622466042,0.9971905043971792,0.9999977676068754,1.0
HDI,0.7800250320862095,0.8535961719775276,0.931784752766037,0.9387062800868265,0.9502440291193737,0.9543687159945955,0.9543907913563178,0.9999936845919942,1.0000000000000002
Venit,0.7452782265525018,0.7497533541214069,0.7498456981329853,0.9555110393621526,0.9665519460952057,0.9679659085829445,0.9959706853497065,0.9999952800081651,1.0
IndiceFericire,0.7670778606961637,0.7691376449072781,0.7722978531017767,0.827065561712409,0.9870847764300585,0.998814640503083,0.9997594896453054,0.9999771573719449,0.9999999999999999
IndiceEducatie,0.7343591670569188,0.8698849236806881,0.8867726977730198,0.8889883843323522,0.9161192328831606,0.9758431110100542,0.9813313800527327,0.999994374795391,0.9999999999999998
